X,Specimen.Number,Alternative.tube.info,DNA.Concentration..ng.uL.,Species,LocalityInformation,Latitude,Longitude,Sex,Date,county,state,country,notes
1,AJB140,NA,NA,velox,AJB,35.217638,-111.4307,NA,6/2/19,Coconino County,Arizona,United States,
2,AJB141,NA,NA,neomexicanus,AJB,35.288626,-106.62924,NA,6/4/19,Sandoval County,New Mexico,United States,
3,AJB170,NA,NA,burti,AJB,33.22227,-112.23268,M,4/13/24,Maricopa County,Arizona,United States,
4,AJB178,NA,NA,burti,AJB,32.748663,-112.12819,M,5/19/24,Pinal County,Arizona,United States,
5,AJB179,NA,NA,burti,AJB,32.748663,-112.12819,M,5/19/24,Pinal County,Arizona,United States,
6,AJB190,NA,NA,cozumelus,AJB,NA,NA,NA,NA,NA,NA,NA,AJB 190 is maslini on AJB sheet
7,AJB192,NA,NA,angusticeps,AJB,18.52994,-90.758607,F,7/16/24,NA,Campeche,Mexico,
8,AJB218,NA,NA,cozumelus,AJB,NA,NA,NA,8/20/23,NA,NA,NA,
9,APG250,NA,NA,exsanguis,AllRAD,31.758410000000001,-106.45786,NA,NA,Juárez,Chihuahua,México,
10,APG254,NA,NA,arizonae,AllRAD,30.21106,-106.07866,NA,NA,Ahumada,Chihuahua,México,
11,APG255,NA,NA,velox,AllRAD,30.21106,-106.07866,NA,NA,Ahumada,Chihuahua,México,
12,APG259,NA,NA,velox,AllRAD,30.21106,-106.07866,NA,NA,Ahumada,Chihuahua,México,
13,APG281,NA,NA,arizonae,AllRAD,29.366520000000001,-104.89535,NA,NA,Coyame del Sotol,Chihuahua,México,
14,APG282,NA,NA,marmoratus,AllRAD,29.3462,-104.89677,NA,NA,Coyame del Sotol,Chihuahua,México,
15,APG287,NA,NA,arizonae,AllRAD,29.32066,-104.96623,NA,NA,Coyame del Sotol,Chihuahua,México,
16,APG297,NA,NA,arizonae,AllRAD,27.883880000000001,-105.22798,NA,NA,La Cruz,Chihuahua,México,
17,APG308,NA,NA,exsanguis,AllRAD,28.453240000000001,-105.81427,NA,NA,Municipio de Chihuahua,Chihuahua,México,
