Species,Reproduction,Ploidy,Extractions,Additional Tissues,Parents,Group,Lineage1,Lineage2,
cozumelus,unisexual,2n,55,,deppii & angusticeps,1,deppii,angusticeps,
deppii,sexual,2n,157,,,1,deppii,,
angusticeps,sexual,2n,27,,,1,,angusticeps,
sonorae,unisexual,3n,44,,arizonae & burti,2,arizonae,burti,
velox,unisexual,3n,39,,arizonae & burti,2,arizonae,burti,
arizonae,sexual,2n,27,,,2,arizonae,,
burti,sexual,2n,25,,,2,,burti,
laredoensis,unisexual,2n,13,10,sexlineatus & gularis,3,sexlineatus,gularis,
sexlineatus,sexual,2n,12,Could get,,3,sexlineatus,,
gularis,sexual,2n,32,,,3,,gularis,
exsanguis,unisexual,3n,34,,"arizonae, burti & gularis",2,arizonae,burti,
neotesselatus,unisexual,3n,17,,"arizonae, sexlineatus & marmoratus",4,arizonae,,
neomexicanus,unisexual,2n,8,,arizonae & marmoratus,4,,,
marmoratus,sexual,2n,21,20,,4,,,
