	angusticeps	arizonae	burti	deppii	exsanguis	gularis	laredoensis	marmoratus	cozumelus	neomexicanus	neotesselatus	scalaris	sonorae	velox	sexlineatus
angusticeps	1	0.806838366	0.834122755	0.704805605	0.891651865	0.851342017	0.825093744	0.732089994	0.843349122	0.773633314	0.887902112	0.857558713	0.875715413	0.862936649	0.796427867
arizonae	0.806838366	1	0.819370436	0.700118413	0.887852773	0.832346556	0.856621275	0.729277679	0.760607855	0.840783501	0.884596408	0.839747385	0.8702388	0.916765344	0.874235248
burti	0.834122755	0.819370436	1	0.713785277	0.916321295	0.868018551	0.839204658	0.739786856	0.779800671	0.784882574	0.903197158	0.875518058	0.939855931	0.886717979	0.80708506
deppii	0.704805605	0.700118413	0.713785277	1	0.772202487	0.728636274	0.710183541	0.664742451	0.81359779	0.687240971	0.775754885	0.734951648	0.756858101	0.750197355	0.690102625
exsanguis	0.891651865	0.887852773	0.916321295	0.772202487	1	0.928113282	0.905812118	0.801065719	0.839500691	0.851983422	0.970298007	0.937685021	0.964328005	0.953325439	0.873297809
gularis	0.851342017	0.832346556	0.868018551	0.728636274	0.928113282	1	0.892835998	0.755229919	0.797414644	0.799437537	0.922982041	0.92993882	0.910696665	0.894661535	0.821343991
laredoensis	0.825093744	0.856621275	0.839204658	0.710183541	0.905812118	0.892835998	1	0.737369252	0.780836787	0.818975725	0.909068482	0.881290705	0.886323268	0.907686994	0.881734754
marmoratus	0.732089994	0.729277679	0.739786856	0.664742451	0.801065719	0.755229919	0.737369252	1	0.703621472	0.847542925	0.815373989	0.761940004	0.784043813	0.779356621	0.718373791
cozumelus	0.843349122	0.760607855	0.779800671	0.81359779	0.839500691	0.797414644	0.780836787	0.703621472	1	0.747434379	0.841967634	0.803730018	0.823761595	0.816015394	0.749013223
neomexicanus	0.773633314	0.840783501	0.784882574	0.687240971	0.851983422	0.799437537	0.818975725	0.847542925	0.747434379	1	0.862147227	0.8062463	0.833876061	0.878330373	0.803236629
neotesselatus	0.887902112	0.884596408	0.903197158	0.775754885	0.970298007	0.922982041	0.909068482	0.815373989	0.841967634	0.862147227	1	0.931270969	0.951598579	0.94681271	0.878823762
scalaris	0.857558713	0.839747385	0.875518058	0.734951648	0.937685021	0.92993882	0.881290705	0.761940004	0.803730018	0.8062463	0.931270969	1	0.917998816	0.901963687	0.828350109
sonorae	0.875715413	0.8702388	0.939855931	0.756858101	0.964328005	0.910696665	0.886323268	0.784043813	0.823761595	0.833876061	0.951598579	0.917998816	1	0.936106177	0.855486481
velox	0.862936649	0.916765344	0.886717979	0.750197355	0.953325439	0.894661535	0.907686994	0.779356621	0.816015394	0.878330373	0.94681271	0.901963687	0.936106177	1	0.88277087
sexlineatus	0.796427867	0.874235248	0.80708506	0.690102625	0.873297809	0.821343991	0.881734754	0.718373791	0.749013223	0.803236629	0.878823762	0.828350109	0.855486481	0.88277087	1
