"","Extended Summary Data","Catalog Prefix","Catalog Number","Current Qualified Name","Identification comments","Type Status","Determiner","Date Identified","Sex","Stage","Habitat/Microhabitat","Continent","Country","Province/State/Territory","District/County/Shire","Township","Precise/Location","Site Name","Verbatim Elevation","Elevation (From—Met)","Elevation (From—Ft)","Elevation (To—Met)","Elevation (To—Ft)","Latitude (Centroid—DMS)","Latitude (Centroid—Dec)","Longitude (Centroid—DMS)","Longitude (Centroid—Dec)","Lat-Long Notes","Collector String","Expedition Name/Date","Collection Date (from)","Collection Date (to)","Verbatim Collection Date","“Original” locality data","Deaccessioned?...35","Collector Number","Other Numbers: Kind","Other Numbers: Source","Other Numbers: Value","Note","Note Type","Deaccessioned?...42","Tissue Source","Tissue Other Numbers","AMCC Number","Storage Medium","Preservation History"
"1","R135021: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1528}; Captive Born: Captive Born: (Captive born in AMNH lizard colony)","R",135021,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"Captive Born","Captive Born",NA,NA,NA,"(Captive born in AMNH lizard colony)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captive born","No",NA,NA,NA,NA,"Toe clip (RR-1,LR-2,RF-3,LF-2)","Toe clip",NA,NA,"FT 1528",112636,NA,NA
"2","R135037: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1526}; Captive Born: Captive Born: (Captive born in AMNH lizard colony)","R",135037,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"Captive Born","Captive Born",NA,NA,NA,"(Captive born in AMNH lizard colony)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captive born","No",NA,NA,NA,NA,"Toe clip (RR-1,LR-1,RF-3,LF-4)","Toe clip",NA,NA,"FT 1526",113513,NA,NA
"3","R135039: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1531}; Captive Born: Captive Born: (Captive born in AMNH lizard colony)","R",135039,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"Captive Born","Captive Born",NA,NA,NA,"(Captive born in AMNH lizard colony)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captive born","No",NA,NA,NA,NA,"Toe clip (RR-1,LR-1,RF-4,LF-4)","Toe clip",NA,NA,"FT 1531",112639,NA,NA
"4","R135041: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1529}; Captive Born: Captive Born: (Captive born in AMNH lizard colony)","R",135041,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"Captive Born","Captive Born",NA,NA,NA,"(Captive born in AMNH lizard colony)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captive born","No",NA,NA,NA,NA,"Toe clip (RR-1,LR-2,RF-4,LF-1)","Toe clip",NA,NA,"FT 1529",112637,NA,NA
"5","R135042: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1530}; Captive Born: Captive Born: (Captive born in AMNH lizard colony)","R",135042,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"Captive Born","Captive Born",NA,NA,NA,"(Captive born in AMNH lizard colony)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captive born","No",NA,NA,NA,NA,"Toe clip (RR-1,LR-3,RF-4,LF-1)","Toe clip",NA,NA,"FT 1530",112638,NA,NA
"6","R133220: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1738}; North America: United States: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Wilcox: 4200 ft elev: 9 Jun 1988 - 9 Jun 1988; Charles J. Cole & Carol R. Townsend (JC 5404)","R",133220,"Aspidoscelis arizonae",NA,NA,NA,NA,"Female",NA,NA,"North America","United States","Arizona","Cochise",NA,"4.0 mi (by AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole & Carol R. Townsend",NA,1988-06-09,1988-06-09,NA,"USA: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Wilcox, 4200 ft","No","JC 5404",NA,NA,NA,NA,NA,NA,NA,"FT 1738",113887,NA,NA
"7","R133221: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1739}; North America: United States: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Wilcox: 4200 ft elev: 9 Jun 1988 - 9 Jun 1988; Charles J. Cole & Carol R. Townsend (JC 5405)","R",133221,"Aspidoscelis arizonae",NA,NA,NA,NA,"Female",NA,NA,"North America","United States","Arizona","Cochise",NA,"4.0 mi (by AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole & Carol R. Townsend",NA,1988-06-09,1988-06-09,NA,"USA: Arizona: Cochise: 4.0 mi (by AZ hwy 186) SE Wilcox, 4200 ft","No","JC 5405",NA,NA,NA,NA,NA,NA,NA,"FT 1739",113888,NA,NA
"8","R134998: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1392}; North America: United States: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox: 4200 ft elev: 23 Mar 1985 - 26 Mar 1985; Charles J. Cole (JC 5100)","R",134998,"Aspidoscelis arizonae",NA,NA,NA,NA,"Female",NA,NA,"North America","United States","Arizona","Cochise",NA,"2.2 mi (via AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1985-03-23,1985-03-26,NA,"USA: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox, 4200 ft","No","JC 5100",NA,NA,NA,NA,NA,NA,NA,"FT 1392",113879,NA,NA
"9","R134999: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1533, AMCC 104627, AMCC 113516}; North America: United States: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox: 4200 ft elev: 23 Mar 1985 - 26 Mar 1985; Charles J. Cole (JC 5108)","R",134999,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"North America","United States","Arizona","Cochise",NA,"2.2 mi (via AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1985-03-23,1985-03-26,NA,"USA: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox, 4200 ft","No","JC 5108",NA,NA,NA,NA,NA,NA,NA,"FT 1533, AMCC 104627, AMCC 113516",104627,NA,NA
"10","R135000: Aspidoscelis arizonae; Teiidae; [Fluid] Corpus; [Tissue] {FT 1525}; North America: United States: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox: 4200 ft elev: 23 Mar 1985 - 26 Mar 1985; Charles J. Cole (JC 5109)","R",135000,"Aspidoscelis arizonae",NA,NA,NA,NA,"Male",NA,NA,"North America","United States","Arizona","Cochise",NA,"2.2 mi (via AZ hwy 186) SE Wilcox",NA,"4200 ft",1280,4200,NA,NA,NA,NA,NA,NA,NA,"Charles J. Cole",NA,1985-03-23,1985-03-26,NA,"USA: Arizona: Cochise: 2.2 mi (via AZ hwy 186) SE Wilcox, 4200 ft","No","JC 5109",NA,NA,NA,NA,NA,NA,NA,"FT 1525",113512,NA,NA
