"","Category","ID","Colector","# colector","Species","Subspecies","Clade","Clade map","State/Country","Locality","Latitude","Longitude","Elevation","Sex","Age","Extraction notebook","Extraction sample","Box new","Cell new","Plate","Well","Quality","Photo CJPV","Photo UH","Vol","ng/μl","μl p/500 ng","corrected # ANMO","Qual + Qu","Id map","Id mapa","Morphology","Comments"
"1","Disc T NQ",NA,"AC","11","deppii","deppii","db Cacalutla-S Cruz",NA,"Gro","Tierra Colorada",NA,NA,NA,NA,NA,NA,NA,"CARD","F3",NA,NA,"Poor. Mostly degraded",NA,"UH2","25","337",1.48367952522255,NA,"Bad",NA,NA,NA,NA
"2","Disc T NQ",NA,"AEH","4","deppii","deppii",NA,NA,"Nic",NA,NA,NA,NA,NA,NA,NA,NA,"CARD","D2",NA,NA,"Bad. Very little","3,23",NA,NA,NA,NA,NA,"Bad",NA,NA,"DNA diluido",NA
"3","Unn T NQ dup",NA,"AEH","7","deppii","deppii",NA,NA,"Nic",NA,NA,NA,NA,NA,NA,NA,NA,"3","B2",NA,NA,NA,"7,19",NA,"300",NA,NA,NA,NA,NA,NA,"extraction",NA
"4","Disc T NQ",NA,"AEH","7","deppii","deppii","db Chis-Costa Rica",NA,"Nic",NA,NA,NA,NA,NA,NA,NA,NA,"CARD","I8",NA,NA,"Poor. Some degraded",NA,"UH1","25",NA,NA,NA,"Bad",NA,NA,NA,"extraction"
"5","Disc T Q",NA,"ANMO","431","deppii","infernalis","di Gro-Pue",NA,"Mor","Aproximadamente 2 km NE Puente de Ixtla; desviación de la autopista México-Acapulco hacia Iguala y Taxco (carr 95D, km 0)",18.6511166666667,-99.2985666666667,NA,NA,NA,NA,NA,"CARD","A5",NA,NA,"Bad. Mostly degraded",NA,"UH2","50","294",1.70068027210884,532,"Bad",NA,NA,NA,NA
"6","Disc T NQ",NA,"ANMO","431","deppii","infernalis",NA,NA,"Mor","Aproximadamente 2 km NE Puente de Ixtla; desviación de la autopista México-Acapulco hacia Iguala y Taxco (carr 95D, km 0)",18.6511166666667,-99.2985666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bad. Very little","7,15",NA,NA,NA,NA,532,"Bad",NA,NA,"Poco DNA en gel",NA
"7","Pend NT Q","√","ANMO","3039","deppii","infernalis","di Gro-Pue","11-","Gro","Zumpango del Río",17.64633,-99.53654,NA,NA,NA,NA,NA,"2","D9",2,"F1","Good","6,7","UH7","60","74",6.75675675675676,NA,"G","11-G","ANMO3039",NA,"conc after genomiphi (ver sheet selected digestion)"
"8","Disc T NQ",NA,"ANMO","443","deppii","infernalis","di Gro-Pue",NA,"Gro","Aproximadamente 2 km O Colonia Valerio Trujano ó intersección carr Mexico-Acapulco (95) con Río Mezcala",17.9390833333333,-99.6044333333333,NA,NA,NA,NA,NA,"CARD","F8",NA,NA,"Poor. Mostly degraded","4,4","UH4, 7",NA,"102",4.90196078431373,544,"Bad",NA,NA,NA,NA
"9","Disc T NQ",NA,"ANMO","452","deppii","deppii",NA,NA,"Gro","Tierra Colorada",17.1654666666667,-99.5362166666667,NA,NA,NA,NA,NA,"CARD","A9",NA,NA,"Bad. Mostly degraded",NA,"UH1","20",NA,NA,553,"Bad",NA,NA,"extraction (dil)",NA
"10","Disc T NQ",NA,"ANMO","453","deppii","deppii",NA,NA,"Gro","Tierra Colorada",17.1654666666667,-99.5362166666667,NA,NA,NA,NA,NA,"CARD","B1",NA,NA,"Bad. Mostly degraded",NA,"UH1","25",NA,NA,554,"Bad",NA,NA,"extraction (dil)",NA
"11","Pend NT Q","-","ENS","11556","lineatissima","livida","l livida","20-","Mich","N of Ostula",18.53063,-103.44958,181,NA,NA,NA,NA,"2","E1",2,"F2","Good",NA,"UH1","80","too low",NA,NA,"G","20-G","ENS11556",NA,"conc after genomiphi (ver sheet selected digestion)"
"12","Unn T NQ dup",NA,"ANMO","460","deppii","deppii",NA,NA,"Gro","Mpio. Atoyac de Alvarez, Cacalutla",17.1277333333333,-100.35795,NA,NA,NA,NA,NA,"3","A7",NA,NA,NA,"7,17",NA,"30",NA,NA,561,NA,NA,NA,"extraction (dil)",NA
"13","Disc T NQ",NA,"ANMO","460","deppii","deppii",NA,NA,"Gro","Mpio. Atoyac de Alvarez, Cacalutla",17.1277333333333,-100.35795,NA,NA,NA,NA,NA,"CARD","B2",NA,NA,"Bad. Mostly degraded",NA,"UH1","40",NA,NA,561,"Bad",NA,NA,"extraction (conc)",NA
"14","Disc T NQ",NA,"ANMO","461","guttata","immutabilis",NA,NA,"Gro","Mpio. Atoyac de Alvarez, Cacalutla",17.1277333333333,-100.35795,NA,NA,NA,NA,NA,"CARD","I3",NA,NA,"Poor. Mostly degraded, too little","5,5",NA,"7 u 8",NA,NA,562,"Bad",NA,NA,NA,NA
