"","ID","...2","...3","Colector","# colector","Especie","Subespecie","Type loc","Clado","Estado","Municipio","Localidad","Latitud","Longitud","Elevación","Sexo","Edad","ExtractionLibro","ExtractionSample","Box","Cell","Q hmw","Q deg","Photo","Vol","ng/μl","ul p/500 ng","Comentarios","Status","Sample","...31"
"1",1,"√",NA,"UOGV","1528","calidipes",NA,"√",NA,"Michoacán","La Huacana","Carr. Nueva Italia-Arteaga, Puente Capirio","18.853222222222225","-102.14205555555556","171","?",NA,"Sandra",NA,1,"I3","High","No","1","100","44.6",11.2107623318386,NA,"R","Extraction",NA
"2",1,NA,NA,"UOGV","1528","calidipes",NA,"√",NA,"Michoacán","La Huacana","Carr. Nueva Italia-Arteaga, Puente Capirio","18.853222222222225","-102.14205555555556","171","?",NA,NA,NA,3,"G4",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"3",2,"√",NA,"ANMO","3084","calidipes",NA,NA,NA,"Michoacán","Huetamo","Camino de Huetamo a San Jerónimo","18.542777777777779","-101.26991666666666","214","?",NA,"A5","6.9",2,"A6","Low","Low","2","150","41.2",12.1359223300971,NA,"R","Extraction",NA
"4",2,NA,NA,"ANMO","3092","calidipes",NA,NA,NA,"Michoacán","Huetamo","Alrededores de San Jerónimo; salida del pueblo hacia Churumuco","18.532638888888886","-101.33202777777777","198","?",NA,NA,NA,3,"B2",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"5",3,"√",NA,"ANMO","1076","calidipes",NA,NA,NA,"Michoacán","Arteaga","Las Cañas, sobre carr libre Nueva Italia--Lázaro Cárdenas","18.554944444444445","-101.97044444444445","368","?",NA,"Extracciones 15","B1",1,"G1","High","High","3",">500","61.2",8.16993464052288,NA,"R*","Extraction",NA
"6",3,NA,NA,"ANMO","1075","calidipes",NA,NA,NA,"Michoacán","Arteaga","Las Cañas, sobre carr libre Nueva Italia--Lázaro Cárdenas","18.554944444444445","-101.97044444444445","368","Hembra","Jóven",NA,NA,3,"B3",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"7",4,"√",NA,"UOGV","1085","parvisocia",NA,"√",NA,"Oaxaca","Cuicatlan","Rio Grande, al E de Cuicatlan","17.77375","-96.955250000000007","594","Macho","?","A5","15.12",2,"E5","Low","Low","4","20","25.8",19.3798449612403,"Se requerían 19.38 ul; sólo había 17 ul","R","Extraction",NA
"8",4,NA,NA,"UOGV","1085","parvisocia",NA,"√",NA,"Oaxaca","Cuicatlan","Rio Grande, al E de Cuicatlan","17.77375","-96.955250000000007","594","Macho","?",NA,NA,3,"B4",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"9",5,"√",NA,"ANMO","4006","parvisocia",NA,NA,NA,"Puebla",NA,NA,NA,NA,NA,"Macho","Adulto","A7","C28.14",2,"E3","Low","Low","5","250","26.6",18.796992481203,NA,"R","Extraction",NA
"10",5,"√",NA,"ANMO","4007","parvisocia",NA,NA,NA,"Puebla",NA,NA,NA,NA,NA,"Hembra",NA,NA,NA,2,"C9","Intermediate","Low","UH2","20","33.6",14.8809523809524,NA,"R","Extraction",NA
