"","Field Number","Genus","species","Locality","Country","State/Province","Date","Latitude","Longitude","GPS Error","Time","Habitat","Collection Site","Sex","SVL (mm)","Collectors","Notes","...18"
"1","ANMO 4901","Aspidoscelis","scalaris","Near road south of Estación Ventura on way to El Puerto","Mexico","San Luis Potosi",2021-07-21,"22 22.688'","100 45.775'","3 m","10:51–1:43","Xeric scrub","On ground near bushes","male",NA,"Anthony Barley, Robert Thomson, Daniel Lara-Tufiño, Maximiliano Monroy",NA,NA
"2","ANMO 4902","Aspidoscelis","scalaris","Near road south of Estación Ventura on way to El Puerto","Mexico","San Luis Potosi",2021-07-21,"22 22.688'","100 45.775'","3 m","10:51–1:43","Xeric scrub","On ground near bushes","male",NA,"Anthony Barley, Robert Thomson, Daniel Lara-Tufiño, Maximiliano Monroy",NA,NA
"3","ANMO 4903","Aspidoscelis","scalaris","Near road south of Estación Ventura on way to El Puerto","Mexico","San Luis Potosi",2021-07-21,"22 22.688'","100 45.775'","3 m","10:51–1:43","Xeric scrub","On ground near bushes","male",NA,"Anthony Barley, Robert Thomson, Daniel Lara-Tufiño, Maximiliano Monroy",NA,NA
"4","ANMO 4904","Aspidoscelis","scalaris","Near road south of Estación Ventura on way to El Puerto","Mexico","San Luis Potosi",2021-07-21,"22 22.688'","100 45.775'","3 m","10:51–1:43","Xeric scrub","On ground near bushes","male",NA,"Anthony Barley, Robert Thomson, Daniel Lara-Tufiño, Maximiliano Monroy",NA,NA
"5","ANMO 4905","Aspidoscelis","scalaris","Near road south of Estación Ventura on way to El Puerto","Mexico","San Luis Potosi",2021-07-21,"22 22.688'","100 45.775'","3 m","10:51–1:43","Xeric scrub","On ground near bushes","male",NA,"Anthony Barley, Robert Thomson, Daniel Lara-Tufiño, Maximiliano Monroy",NA,NA
"6","ANMO 4906","Aspidoscelis","gularis","Northeast Villa de Garcia, off Camino Alcamole","Mexico","Nuevo Leon",2021-07-22,"25 49.998'","100 38.042'","3 m","10:00–10:35","Desert grassland, rocky","On ground near rocks","male",NA,"Anthony Barley, Robert Thomson, Daniel Lara-Tufiño, Maximiliano Monroy","Temperature: 24 degrees",NA
"7","ANMO 4907","Aspidoscelis","gularis","Northeast Villa de Garcia, off Camino Alcamole","Mexico","Nuevo Leon",2021-07-22,"25 49.998'","100 38.042'","3 m","10:00–10:35","Desert grassland, rocky","On ground near rocks","female",NA,"Anthony Barley, Robert Thomson, Daniel Lara-Tufiño, Maximiliano Monroy","Temperature: 24 degrees",NA
"8","ANMO 4908","Coleonyx","variegatus","Northeast Villa de Garcia, off Camino Alcamole","Mexico","Nuevo Leon",2021-07-22,"25 49.998'","100 38.042'","3 m","10:00–10:35","Desert grassland, rocky","Under board","female (juvenile)",NA,"Anthony Barley, Robert Thomson, Daniel Lara-Tufiño, Maximiliano Monroy","Temperature: 24 degrees",NA
"9","ANMO 4909","Coleonyx","variegatus","Northeast Villa de Garcia, off Camino Alcamole","Mexico","Nuevo Leon",2021-07-22,"25 49.998'","100 38.042'","3 m","10:00–10:35","Desert grassland, rocky","Under board","female",NA,"Anthony Barley, Robert Thomson, Daniel Lara-Tufiño, Maximiliano Monroy","Temperature: 24 degrees",NA
"10","ANMO 4910","Sceloporus","?","Near Pesquería","Mexico","Nuevo Leon",2021-07-22,"25 47.295'","100 40.85'","3 m",NA,"Desert shrubland, sand with rocky substrate","On ground","male",NA,"Anthony Barley, Robert Thomson, Daniel Lara-Tufiño, Maximiliano Monroy",NA,NA
"11","ANMO 4911","Aspidoscelis","inornatus","Near Pesquería","Mexico","Nuevo Leon",2021-07-22,"25 47.295'","100 40.85'","3 m",NA,"Desert shrubland, sand with rocky substrate","On ground","female",56,"Anthony Barley, Robert Thomson, Daniel Lara-Tufiño, Maximiliano Monroy",NA,NA
"12","ANMO 4912","Aspidoscelis","inornatus","Near Pesquería","Mexico","Nuevo Leon",2021-07-22,"25 47.295'","100 40.85'","3 m",NA,"Desert shrubland, sand with rocky substrate","On ground","male",56,"Anthony Barley, Robert Thomson, Daniel Lara-Tufiño, Maximiliano Monroy",NA,NA
