"","Grupo","Museum Number","# colector","Especie","Subespecie","Type loc","Estado","Localidad","Latitud","Longitud","Elevación","Sexo","Edad","Photo","Library","Platform","RAD protocol","Comentarios"
"1","sexlineatus",NA,"ANMO 4398","alpinus",NA,"x",NA,"Laguna de Alchichica, alrededores","19.404409999999999","97.403599999999997","2365",NA,NA,NA,"RTAB2018A","HiSeq 4000","AJB",NA
"2","sexlineatus",NA,"ANMO 1845","angusticeps","angusticeps",NA,"Campeche","Pomuch","20.138527777777778","-90.185250000000011","2",NA,NA,"88","RTAB003A","HiSeq 2500","AJB",NA
"3","sexlineatus",NA,"ANMO 1846","angusticeps","angusticeps",NA,"Campeche","Pomuch","20.138527777777778","-90.185250000000011","2",NA,NA,"UH1","RTAB003A","HiSeq 2500","AJB",NA
"4","sexlineatus",NA,"AER 008","angusticeps",NA,NA,NA,NA,"18.363055555555558","-90.852499999999992",NA,NA,NA,NA,"RTAB011","NovaSeq",NA,NA
"5","sexlineatus",NA,"AER 010","angusticeps",NA,NA,"Campeche","Chekubul","18.820277777777779","-91.009166666666673",NA,NA,NA,NA,"RTAB011","NovaSeq",NA,NA
"6","sexlineatus",NA,"AER 012","angusticeps",NA,NA,"Campeche","Constitución","18.624444444444446","-90.130555555555546",NA,NA,NA,NA,"RTAB011","NovaSeq",NA,NA
"7","sexlineatus",NA,"AER 042","angusticeps",NA,NA,"Campeche","Xpujil","18.508388888888888","-89.399694444444449",NA,NA,NA,NA,"RTAB011","NovaSeq",NA,NA
"8","sexlineatus",NA,"AER 043","angusticeps",NA,NA,NA,NA,"18.508583333333334","-89.399694444444449",NA,NA,NA,NA,"RTAB011","NovaSeq",NA,NA
"9","sexlineatus",NA,"LDOR 057","angusticeps",NA,NA,"Quintana Roo","El Ideal","20.880027777777777","-87.546138888888891",NA,NA,NA,NA,"RTAB011","NovaSeq",NA,NA
"10","sexlineatus",NA,"NLMM 380","angusticeps",NA,NA,"Campeche","Hampolol","19.916166666666665","-90.376388888888883",NA,NA,NA,NA,"RTAB011","NovaSeq",NA,NA
"11","sexlineatus",NA,"NLMM 384","angusticeps",NA,NA,"Quintana Roo","Carr. Chetumal-Bacalar","18.52761111111111","-88.37855555555555",NA,NA,NA,NA,"RTAB011","NovaSeq",NA,NA
"12","sexlineatus",NA,"NLMM 480","angusticeps",NA,NA,NA,NA,"18.600305555555558","-90.701694444444442",NA,NA,NA,NA,"RTAB011","NovaSeq",NA,NA
"13","sexlineatus",NA,"SFDG 120","angusticeps",NA,NA,"Yucatan","Motul","21.093722222222222","-89.30105555555555",NA,NA,NA,NA,"RTAB011","NovaSeq",NA,NA
"14","sexlineatus",NA,"SFDG 162","angusticeps",NA,NA,"Quintana Roo","Bacalar","18.690111111111111","-88.40280555555556",NA,NA,NA,NA,"RTAB011","NovaSeq",NA,NA
