"","identificadorUnico","siglasColecciónMZFC","númeroCatálogoMZFC","etiquetaCampo","nombreEtiquetaCampo","catálogoCampo","colectorPrimario","siglasColectorPrimario","colectoresSecundarios","cantidadMuestras","tipoMuestra","sexo","etapaDesarrollo","actividadReproductiva","actividad","tipoPreparación","localización","otrosNúmerosCatálogo","obervacionesOrganismo","fotografías","autorFotografías","taxonesAsociados","tipoTejido","tejidoCajaCelda","TipoPreservaciónTejido","otroMaterialAsociado","horaColecta","añoColecta","mesColecta","díaColecta","hábitat","sitioColecta","observacionesColecta","país","estado","municipio","localidad","altitud","latitudGrados","latitudMinutos","latitudSegundos","longitudGrados","longitudMinutos","longitudSegundos","latitudDecimal","longitudDecimal","determinador","añoDeterminación","comentariosIdentificación","tipoNomenclatural","nombreCientífico","clase","familia","género","epítetoEspecífico","donador","correoElectrónicoContacto","fechaCatalogación","Subespecie","Subserie","Voucher (otro que MZFC)","Secuencia DNAmt","RADseq","EjemplarNoCatálogo","StatusID","Notas1","Notas2","TejCol_BUC","TejCaja_BUC","TejCelda_BUC"
"1",NA,NA,NA,"ANMO:5156","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo","Macho",NA,NA,"Forrajeando","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",4,"Selva baja caducifolia","Sobre suelo",NA,"México","Chiapas","Mazatán","Barra de San Simón",0,NA,NA,NA,NA,NA,NA,14.793,-92.50207,NA,NA,NA,NA,"Aspidoscelis deppeii","Reptilia","Teiidae","Aspidoscelis","deppeii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,"ANMO:5157","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo","Macho",NA,NA,"Forrajeando","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",4,"Selva baja caducifolia","Sobre suelo",NA,"México","Chiapas","Mazatán","Barra de San Simón",0,NA,NA,NA,NA,NA,NA,14.793,-92.50207,NA,NA,NA,NA,"Aspidoscelis deppeii","Reptilia","Teiidae","Aspidoscelis","deppeii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,"ANMO:5158","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo","Hembra",NA,NA,"Activo","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",4,"Cafetal y selva baja subcaducifolia","Sobre tronco de cafetal",NA,"México","Chiapas","Tapachula","Aproximadamente a 19.5 km al Norte de Tapachula, en Finca San Andrés",580,NA,NA,NA,NA,NA,NA,15.06519,-92.23459,NA,NA,NA,NA,"Anolis unilobatus","Reptilia","Dactyloidae","Anolis","unilobatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,"ANMO:5159","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activo","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",4,"Cafetal y selva baja subcaducifolia","Sobre hojarasca",NA,"México","Chiapas","Tapachula","Aproximadamente a 19.5 km al Norte de Tapachula, en Finca San Andrés",580,NA,NA,NA,NA,NA,NA,15.06519,-92.23459,NA,NA,NA,NA,"Anolis dolphosianus","Reptilia","Dactyloidae","Anolis","dolphosianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,"ANMO:5160","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activo","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",4,"Cafetal y selva baja subcaducifolia","Sobre hojarasca",NA,"México","Chiapas","Tapachula","Aproximadamente a 19.5 km al Norte de Tapachula, en Finca San Andrés",580,NA,NA,NA,NA,NA,NA,15.06519,-92.23459,NA,NA,NA,NA,"Anolis dolphosianus","Reptilia","Dactyloidae","Anolis","dolphosianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,"ANMO:5161","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Activo","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",4,"Cafetal y selva baja subcaducifolia","Sobre hojarasca",NA,"México","Chiapas","Tapachula","Aproximadamente a 19.5 km al Norte de Tapachula, en Finca San Andrés",580,NA,NA,NA,NA,NA,NA,15.06519,-92.23459,NA,NA,NA,NA,"Anolis dolphosianus","Reptilia","Dactyloidae","Anolis","dolphosianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,"ANMO:5162","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Desplazándose","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",4,"Cafetal y selva baja subcaducifolia","Sobre hojarasca",NA,"México","Chiapas","Tapachula","Aproximadamente a 19.5 km al Norte de Tapachula, en Finca San Andrés",580,NA,NA,NA,NA,NA,NA,15.06519,-92.23459,NA,NA,NA,NA,"Incilius canaliferus","Amphibia","Bufonidae","Incilius","canalliferus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,"ANMO:5163","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Desplazándose","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",4,"Cafetal y selva baja subcaducifolia","Sobre hojarasca",NA,"México","Chiapas","Tapachula","Aproximadamente a 19.5 km al Norte de Tapachula, en Finca San Andrés",580,NA,NA,NA,NA,NA,NA,15.06519,-92.23459,NA,NA,NA,NA,"Incilius canaliferus","Amphibia","Bufonidae","Incilius","canalliferus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,"ANMO:5164","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Forrajeando","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",4,"Cafetal y selva baja subcaducifolia","Sobre hojarasca",NA,"México","Chiapas","Tapachula","Aproximadamente a 19.5 km al Norte de Tapachula, en Finca San Andrés",580,NA,NA,NA,NA,NA,NA,15.06519,-92.23459,NA,NA,NA,NA,"Craugastor rhodopis","Amphibia","Craugastoridae","Craugastor","loki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,"ANMO:5165","Adrián Nieto Montes de Oca",NA,"Adrián Nieto Montes de Oca","ANMO","MMS, UOGV, AGV, Anthony Barley, Robert Thomson",NA,"Organismo completo",NA,NA,NA,"Forrajeando","Alcohol 85%",NA,NA,NA,NA,NA,NA,"Hígado",NA,"Alcohol absoluto",NA,NA,2023,"Junio",4,"Cafetal y selva baja subcaducifolia","Sobre hojarasca",NA,"México","Chiapas","Tapachula","Aproximadamente a 19.5 km al Norte de Tapachula, en Finca San Andrés",580,NA,NA,NA,NA,NA,NA,15.06519,-92.23459,NA,NA,NA,NA,"Craugastor rhodopis","Amphibia","Craugastoridae","Craugastor","loki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
