"","Species","Sample Number","Site","UADZ","Data?","Date","Time","Latitude","Longitude","Elevation"
"1","gularis",NA,"BRGVSP",9752,NA,2021-06-10,1459,26.18049,98.38023,31
"2","gularis",NA,"BRGVSP",9753,NA,2021-06-10,1520,NA,NA,NA
"3","marmoratus","E38","MSSP",9754,"80/285",2021-06-18,955,31.63753,102.8284,NA
"4","marmoratus","E125","MSSP",9755,NA,NA,NA,31.63794,102.8269,NA
"5","marmoratus","E99","MSSP",9756,NA,NA,NA,NA,NA,NA
"6","marmoratus","E19","MSSP",9757,NA,NA,NA,NA,NA,NA
"7","marmoratus","E88","MSSP",9758,NA,NA,NA,NA,NA,NA
"8","marmoratus","E35","MSSP",9759,NA,NA,NA,NA,NA,NA
"9","marmoratus","E92","MSSP",9760,NA,NA,NA,NA,NA,NA
"10","marmoratus","E53","MSSP",9761,NA,NA,NA,NA,NA,NA
"11","marmoratus","E31","MSSP",9762,NA,NA,NA,NA,NA,NA
"12","marmoratus","E24","MSSP",9763,NA,NA,NA,NA,NA,NA
"13","marmoratus","E6","MSSP",9764,NA,NA,NA,NA,NA,NA
"14","marmoratus","E78","MSSP",9765,NA,NA,NA,NA,NA,NA
"15","gularis","alive","NBC",9766,NA,NA,NA,NA,NA,NA
"16","gularis","G1","BRGVSP",9767,NA,NA,NA,26.17645,98.38323,NA
"17","gularis","G2","BRGVSP",9768,NA,NA,NA,NA,NA,NA
"18","gularis","G3","BRGVSP",9769,NA,NA,NA,NA,NA,NA
"19","gularis","G15","BRGVSP",9770,NA,NA,NA,NA,NA,NA
"20","laredoensis A","A4","BRGVSP",9771,NA,NA,NA,NA,NA,NA
"21","laredoensis A","A5","BRGVSP",9772,NA,NA,NA,NA,NA,NA
"22","gularis","G6","BRGVSP",9773,NA,NA,NA,NA,NA,NA
"23","gularis","G7","BRGVSP",9774,NA,NA,NA,NA,NA,NA
"24","gularis","G8","BRGVSP",9775,NA,NA,NA,NA,NA,NA
"25","gularis","G11","BRGVSP",9776,NA,NA,NA,NA,NA,NA
"26","gularis","G12","BRGVSP",9777,NA,NA,NA,NA,NA,NA
"27","gularis","G13","BRGVSP",9778,NA,NA,NA,NA,NA,NA
"28","gularis","G14","BRGVSP",9779,NA,NA,NA,NA,NA,NA
"29","laredoensis A","A9","BRGVSP",9780,NA,NA,NA,NA,NA,NA
"30","laredoensis A","A10","BRGVSP",9781,NA,NA,NA,NA,NA,NA
"31","laredoensis B","B16","Carrizo",9782,NA,NA,NA,28.48977,100.02174,NA
"32","laredoensis B","B17","Carrizo",9783,NA,NA,NA,NA,NA,NA
"33","laredoensis B","B18","Carrizo",9784,NA,NA,NA,NA,NA,NA
"34","laredoensis B","B19","Carrizo",9785,NA,NA,NA,NA,NA,NA
"35","laredoensis B","B20","Carrizo",9786,NA,NA,NA,NA,NA,NA
"36","laredoensis B","B21","Carrizo",9787,NA,NA,NA,NA,NA,NA
"37","gularis","G22","Carrizo",9788,NA,NA,NA,NA,NA,NA
"38","marmoratus","25","MSSP",9789,NA,NA,NA,31.63816,102.8256,NA
"39","marmoratus","24","MSSP",9790,NA,NA,NA,NA,NA,NA
"40","marmoratus","23","MSSP",9791,NA,NA,NA,NA,NA,NA
"41","marmoratus","26","MSSP",9792,NA,NA,NA,NA,NA,NA
"42","marmoratus","27","MSSP",9793,NA,NA,NA,NA,NA,NA
"43","marmoratus","28","MSSP",9794,NA,NA,NA,NA,NA,NA
"44","marmoratus","29","MSSP",9795,NA,NA,NA,NA,NA,NA
"45","marmoratus","30","MSSP",9796,NA,NA,NA,NA,NA,NA
"46","marmoratus","31","MSSP",9797,NA,NA,NA,NA,NA,NA
