"","Specimen Catalog Summer 2019","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11"
"1",NA,NA,"Bentsen Rio Grande Valley State Park",NA,NA,NA,"(BRGVSP)",NA,"Hidalgo Co.",NA,NA
"2","DATE","UADZ #","TIME CST","SPECIES","LIVER #","WT gr","SVL/TOT",NA,"TAIL #","LOCATION",NA
"3","43621","9724","1230","LAR-A","A002","11.7","77/260",NA,"E104","rt side Rio Grande Trail between benches",NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1&2; N26.16588ᴼ, W098.38614ᴼ, 33m",NA
"5","43622","9725","1139","GUL","A001","6.7","64/87R/155",NA,"E80","N26.16493ᴼ, W098.38722ᴼ, 28m",NA
"6","43624","9726","1025","GUL♀","A003","13.2","80/248",NA,"E102","100 yds. N Rio Grande Trail",NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N26.17077ᴼ, W098.38174ᴼ, 33m",NA
"8","43624","9727","1117","GUL♂","A004","14.1","82/264",NA,"E10","back row of loop of Rio Grande Trail on",NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rt. Side near cement pillows; N26.16161ᴼ,",NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"W098.38591ᴼ, chasing slightly smaller ♀GUL",NA
"11","43626","9728","1040","GUL♂","A007","16.7","85/261",NA,"E44","rt side Rio Grande Trail near 2nd bench",NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N26.16301ᴼ, W098.38773ᴼ, 24m",NA
"13","43626","9729","1102","GUL♀","A005","11.1","77/242",NA,"E61","past river cane toward trailhead Rio Grande trail",NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N26.16542ᴼ, W098.38650ᴼ, 28m",NA
"15","43626","9730","1119","LAR-A","A006","13.8","82/261",NA,"E103","rt side of Rio Grande Trail between benches 1 & 2",NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N26.16676ᴼ, W098.38525ᴼ, 36m",NA
"17","43626","9731","950","GUL♂","A008","10.199999999999999","75/241",NA,"E59","rt side of Rio Grande Trail on back loop cement pillows",NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N26.16162ᴼ, W098.38589ᴼ, 36m",NA
"19","43626","9732","1257","LAR-A","A009","12.6","80/176R/217",NA,"E105","rt side Rio Grande Trail",NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N26.16422ᴼ, W098.38792, 36m",NA
"21","43627","9733","1227","GUL♂","A013","11.9","77/179R/259",NA,"E91","50 yds. short of river cane near river on Rio Grande",NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"trail, rt. Side, N26.164212, W098.38795, 36m",NA
"23","43627","9734","1233","LAR-A","A010","12.4","78/249",NA,"E11","35 yds. short of river cane near river on Rio Grande",NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"trail, rt. Side, N26.16409, W098.38802, 32m",NA
"25","43627","9735","1253","LAR-A","A011","10.7","79/262",NA,"E101","rt side of Rio Grande Trail near River Cane",NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N26.16482ᴼ, W098.38737ᴼ, 34m",NA
"27","43627","9736","1350","LAR-A","A012","10.4","76/119R/190",NA,"E57","rt. Side of Rio Grande trail between cane & last bench",NA
"28",NA,NA,"Resaca de la Palma",NA,NA,NA,"Cameron Co.",NA,NA,"N26.16198ᴼ, W098.38686ᴼ, 34m",NA
"29","43630","9737","1241","GUL♂","A013","6.6","66/201",NA,"E40","at restroom off tram rd across from Kiskadee trail",NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N25.988630ᴼ, W097.56422ᴼ, 10m",NA
"31","43630","9738","1311","GUL♂","A014","13.8","79/247",NA,"E111","beginning of Hunter's lane off tram road",NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N25.98136ᴼ, W097.56531ᴼ, 13m",NA
"33","43630","9739","1503","GUL♂","A015","11.9","78/193",NA,"E42","near administration bldg. and Ebony Trail",NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N25.99788ᴼ, W097.56866ᴼ, 22m",NA
"35",NA,NA,"Carizzo Springs",NA,NA,NA,"Dimmit  Co.",NA,NA,NA,NA
"36","43634","9740","1500","Holbrookia propinqua",NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,"A016","8.4","63/77R/129",NA,"E106","250 yds. W Pena Creek",NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N28,49649ᴼ, W099.99736ᴼ, 221m",NA
"39",NA,NA,"Bentsen Rio Grande Valley State Park",NA,NA,NA,"Hidalgo Co., TX",NA,NA,NA,NA
"40","43673","9741","1400","GUL♀","A017","12.5","77/243",NA,"E107","Rt. Fork, 100 yds. toward river",NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N26.17830, W098,",", W098.38052, 26m"
"42","43674","9742","1235","GUL♀","A018","12.2","77/215",NA,"E114","Rio Grande Trailhead burrow system with concrete",NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bench, N26.16953, W098.38190, 29m",NA
"44",NA,NA,"Carizzo Springs",NA,NA,NA,"Dimmit Co., TX",NA,NA,"9.1 mi W jct. US 83 and FM 2644 on FM 2644",NA
"45","43677",NA,"0900 Holbrookia propinqua",NA,NA,NA,NA,NA,NA,"N28.49026, W100.01025, 225m",NA
"46",NA,NA,NA,NA,"A019","7.1","61/132",NA,"E109",NA,NA
"47",NA,NA,NA,NA,NA,"0.6","32/67",NA,"E108","not sent",NA
