"","Record","Latitude","Longitude","Elevation_m","Waypoint","Species","County","State","Year","Month","Month_no","Day","Locality","Pattern_class","Mass_g","SVL_mm","Tail_mm","Photos","Comment"
"1","LJL2021-01",39.78903,-104.97244,1572,"378","Aspidoscelis neotesselatus","Denver","CO",2021,"July",7,10,"Armory","pending","16.5",87.5,"stub","IMG_8016-8019","stub tail"
"2","LJL2021-02",39.78856,-104.97488,1575,"387","Aspidoscelis neotesselatus","Denver","CO",2021,"July",7,10,"Armory","pending","13.2",80.5,"139","IMG_8040-8041",NA
"3","LJL2021-03",38.47094,-105.87095,2079,"411","Aspidoscelis neotesselatus","Fremont","CO",2021,"July",7,13,"Point Barr","pending","16.399999999999999",96.5,"212","IMG_8129-8130",NA
"4","LJL2021-04",39.79105,-104.96947,1566,"8168","Aspidoscelis neotesselatus","Denver","CO",2021,"July",7,17,"Armory","pending","12.3",84.9,"140","IMG_8167-8175",NA
"5","LJL2021-05",39.79033,-104.97038,1574,"420","Aspidoscelis neotesselatus","Denver","CO",2021,"July",7,17,"Armory","pending","n/a",88,"190","IMG_8157","found DOR"
"6","LJL2021-06",39.79172,-104.97441,1570,"429","Aspidoscelis neotesselatus","Denver","CO",2021,"July",7,18,"New dirt piles","pending","17.5",87.3,"201","IMG_8189",NA
"7","LJL2021-07",37.14798,-104.5688,1903,"447","Aspidoscelis exsanguis","Las Animas","CO",2021,"July",7,22,"Trinidad Lake State Park","n/a",NA,NA,NA,"IMG_8279-8280",NA
"8","LJL2021-08",38.47303,-105.87393,2095,"9","Aspidoscelis neotesselatus","Fremont","CO",2021,"July",7,27,"Point Barr","pending","20.8",91.3,"212","IMG_8411-8413",NA
"9","LJL2021-09",38.47304,-105.87444,2081,"10","Aspidoscelis neotesselatus","Fremont","CO",2021,"July",7,27,"Point Barr","pending","25.2",95.8,"218","IMG_8414-8415",NA
"10","LJL2021-10",38.44523,-105.84279,2050,"14","Aspidoscelis neotesselatus","Fremont","CO",2021,"July",7,28,"Howard Creek Road","pending","9.4",72.6,"176","IMG_8439-8446",NA
"11","LJL2021-11",39.7915,-104.97426,1574,"57","Aspidoscelis neotesselatus","Denver","CO",2021,"August",8,5,"New dirt piles","pending","24.7",97.5,"219","IMG_8506-8507",NA
"12","LJL2021-12",39.79106,-104.97458,1573,"69","Aspidoscelis neotesselatus","Denver","CO",2021,"August",8,5,"New dirt piles","pending","17.5",85.6,"203","IMG_8535-8536",NA
"13","LJL2021-13",38.47619,-105.88119,2077,"83","Aspidoscelis neotesselatus","Fremont","CO",2021,"August",8,9,"Railroad overpass","pending","21.9",89.5,"184","IMG_8600-8601","tail tip missing"
"14","LJL2021-14",38.47646,-105.88169,2074,"94","Aspidoscelis neotesselatus","Fremont","CO",2021,"August",8,9,"Railroad overpass","pending","20.6",91.1,"192","IMG_8619-8620",NA
"15","LJL2021-15",38.47625,-105.88117,2076,"98","Aspidoscelis neotesselatus","Fremont","CO",2021,"August",8,9,"Railroad overpass","pending","n/a",85.7,"201","iPhone_7737-7738","found DOR"
"16","LJL2021-16",39.78994,-104.97103,1567,"NP02","Aspidoscelis neotesselatus","Denver","CO",2021,"August",8,28,"Armory","pending","1.3",41.2,"stub","IMG_-8993-8995","YOY found DOR"
"17","LJL2021-17",39.79011,-104.97081,1567,"NP01","Aspidoscelis neotesselatus","Denver","CO",2021,"August",8,28,"Armory","pending","8.4",69,"115","IMG_-8996-8997","Juvenile found DOR"
