"","Specimen Number","Alternative tube info","DNA Concentration (ng/uL)","Species","LocalityInformation"
"1","AJB140",NA,NA,"velox","AJB"
"2","AJB141",NA,NA,"neomexicanus","AJB"
"3","AJB170",NA,NA,"burti","AJB"
"4","AJB178",NA,NA,"burti","AJB"
"5","AJB179",NA,NA,"burti","AJB"
"6","AJB190",NA,NA,"cozumelus","AJB"
"7","AJB192",NA,NA,"angusticeps","AJB"
"8","AJB218",NA,NA,"cozumelus","AJB"
"9","APG250",NA,NA,"exsanguis","AllRAD"
"10","APG254",NA,NA,"arizonae","AllRAD"
"11","APG255",NA,NA,"velox","AllRAD"
"12","APG259",NA,NA,"velox","AllRAD"
"13","APG281",NA,NA,"arizonae","AllRAD"
"14","APG282",NA,NA,"marmoratus","AllRAD"
"15","APG287",NA,NA,"arizonae","AllRAD"
"16","APG297",NA,NA,"arizonae","AllRAD"
"17","APG308",NA,NA,"exsanguis","AllRAD"
"18","AUHT6145",NA,NA,"gularis","AllRAD"
"19","CAS210988",NA,NA,"sexlineatus","AllRAD"
"20","CAS229014",NA,NA,"velox","AllRAD"
"21","GBP3592",NA,NA,"sonorae","AllRAD"
"22","GBP3593",NA,32.4,"sonorae","AllRAD"
"23","GBP4366",NA,NA,"sonorae","AllRAD"
"24","GBP4368",NA,NA,"sonorae","AllRAD"
"25","GBP4509",NA,NA,"sonorae","AllRAD"
"26","GBP4620",NA,NA,"tesselatus","AllRAD"
"27","GBP4623",NA,NA,"tesselatus","AllRAD"
"28","GBP4649",NA,NA,"tesselatus","AllRAD"
"29","GBP4665",NA,NA,"tesselatus","AllRAD"
"30","GBP4666",NA,NA,"tesselatus","AllRAD"
"31","LACM328",NA,131,"exsanguis","AllRAD"
"32","LACM33",NA,168,"cozumelus","AllRAD"
"33","LACM334",NA,81.7,"sonorae","AllRAD"
"34","LACM360",NA,31.1,"exsanguis","AllRAD"
"35","LACM386",NA,186,"sonorae","AllRAD"
"36","LACM397",NA,273,"sonorae","AllRAD"
"37","LACM534",NA,92.3,"sonorae","AllRAD"
"38","LACM929",NA,111,"exsanguis","AllRAD"
"39","LACMTC305",NA,NA,"velox","AllRAD"
"40","LACMTC394",NA,NA,"sonorae","AllRAD"
"41","LACMTC396",NA,NA,"sonorae","AllRAD"
"42","LACMTC565",NA,NA,"velox","AllRAD"
"43","LACMTC566",NA,NA,"velox","AllRAD"
"44","LACMTC567",NA,NA,"sonorae","AllRAD"
"45","LACMTC582",NA,NA,"exsanguis","AllRAD"
"46","LACMTC815",NA,NA,"exsanguis","AllRAD"
"47","LSUH-18938",NA,NA,"sexlineatus","AllRAD"
"48","LSUH21201",NA,NA,"sexlineatus","AllRAD"
"49","MSB74831",NA,NA,"marmoratus","AllRAD"
"50","MSB96644",NA,NA,"gularis","AllRAD"
"51","MSB98711",NA,NA,"exsanguis","AllRAD"
"52","MSB98728",NA,NA,"velox","AllRAD"
"53","MSB98729",NA,NA,"exsanguis","AllRAD"
"54","MSB98731",NA,NA,"exsanguis","AllRAD"
"55","MSB98740",NA,NA,"exsanguis","AllRAD"
"56","MSB98744",NA,NA,"velox","AllRAD"
"57","MSB98748",NA,NA,"tesselatus","AllRAD"
"58","MSB98749",NA,NA,"tesselatus","AllRAD"
"59","MSB98794",NA,NA,"velox","AllRAD"
"60","MSB98848",NA,NA,"exsanguis","AllRAD"
"61","MVZ252643",NA,NA,"arizonae","AllRAD"
"62","MVZ252645",NA,NA,"arizonae","AllRAD"
"63","MVZ252646",NA,NA,"arizonae","AllRAD"
"64","MVZ264331",NA,NA,"motaguae","AllRAD"
"65","MVZ265501",NA,NA,"motaguae","AllRAD"
"66","MVZ269735",NA,NA,"tesselatus","AllRAD"
"67","OCG6220",NA,28.2,"arizonae","AllRAD"
"68","OCGR12740",NA,NA,"sexlineatus","AllRAD"
"69","OCGR4942",NA,18.9,"marmoratus","AllRAD"
"70","OCGR4943",NA,21.3,"gularis","AllRAD"
"71","OCGR4952",NA,NA,"sexlineatus","AllRAD"
"72","OCGR6219",NA,52.2,"arizonae","AllRAD"
"73","OCGR6228",NA,NA,"arizonae","AllRAD"
"74","OCGR6229",NA,88.7,"arizonae","AllRAD"
"75","OCGR6230",NA,42.5,"arizonae","AllRAD"
"76","OCGR6243",NA,22.4,"burti","AllRAD"
"77","OCGR7048",NA,353,"sexlineatus","AllRAD"
"78","OCGR7510",NA,55,"velox","AllRAD"
"79","OCGR8439",NA,NA,"burti","AllRAD"
"80","OCGR8466",NA,NA,"exsanguis","AllRAD"
"81","OCGR8511",NA,85.6,"sonorae","AllRAD"
"82","OCGR8512",NA,18.4,"sonorae","AllRAD"
"83","OCGR8518",NA,93.3,"sonorae","AllRAD"
"84","OCGR8560",NA,NA,"velox","AllRAD"
"85","OCGR8564",NA,NA,"velox","AllRAD"
"86","AMNH102012",NA,NA,"velox","AMNH"
"87","AMNH104629",NA,NA,"sexlineatus","AMNH"
"88","AMNH104672",NA,NA,"neomexicanus","AMNH"
"89","AMNH104673",NA,NA,"neomexicanus","AMNH"
"90","AMNH104680",NA,NA,"neomexicanus","AMNH"
"91","AMNH104682",NA,NA,"neomexicanus","AMNH"
"92","AMNH109691",NA,NA,"neomexicanus","AMNH"
"93","AMNH111468",NA,NA,"sonorae","AMNH"
"94","AMNH111470",NA,NA,"sonorae","AMNH"
"95","AMNH111471",NA,NA,"sonorae","AMNH"
"96","AMNH111481",NA,NA,"sonorae","AMNH"
"97","AMNH111498",NA,NA,"sonorae","AMNH"
"98","AMNH111500",NA,NA,"sonorae","AMNH"
"99","AMNH111503",NA,NA,"sonorae","AMNH"
"100","AMNH111519",NA,NA,"sonorae","AMNH"
"101","AMNH111524",NA,NA,"sonorae","AMNH"
"102","AMNH111527",NA,NA,"sonorae","AMNH"
"103","AMNH111537",NA,NA,"sonorae","AMNH"
"104","AMNH111545",NA,NA,"sonorae","AMNH"
"105","AMNH111572",NA,NA,"sonorae","AMNH"
"106","AMNH111650",NA,NA,"sonorae","AMNH"
"107","AMNH111670",NA,NA,"sonorae","AMNH"
"108","AMNH111683",NA,NA,"sonorae","AMNH"
"109","AMNH111692",NA,NA,"exsanguis","AMNH"
"110","AMNH112014",NA,NA,"sonorae","AMNH"
"111","AMNH112085",NA,NA,"exsanguis","AMNH"
"112","AMNH112103",NA,NA,"exsanguis","AMNH"
"113","AMNH112661",NA,NA,"arizonae","AMNH"
"114","AMNH112675",NA,NA,"neotesselatus","AMNH"
"115","AMNH113489",NA,NA,"exsanguis","AMNH"
"116","AMNH113500",NA,NA,"exsanguis","AMNH"
"117","AMNH113504",NA,NA,"exsanguis","AMNH"
"118","AMNH113517",NA,NA,"exsanguis","AMNH"
"119","AMNH113520",NA,NA,"exsanguis","AMNH"
"120","AMNH113792",NA,NA,"exsanguis","AMNH"
"121","AMNH113798",NA,NA,"exsanguis","AMNH"
"122","AMNH113803",NA,NA,"exsanguis","AMNH"
"123","AMNH113810",NA,NA,"exsanguis","AMNH"
"124","AMNH113814",NA,NA,"exsanguis","AMNH"
"125","AMNH113816",NA,NA,"velox","AMNH"
"126","AMNH113819",NA,NA,"exsanguis","AMNH"
"127","AMNH113820",NA,NA,"exsanguis","AMNH"
"128","AMNH113854",NA,NA,"arizonae","AMNH"
"129","AMNH113870",NA,NA,"arizonae","AMNH"
"130","AMNH113871",NA,NA,"arizonae","AMNH"
"131","AMNH113884",NA,NA,"arizonae","AMNH"
"132","AMNH113886",NA,NA,"burti","AMNH"
"133","AMNH114406",NA,NA,"velox","AMNH"
"134","AMNH116530",NA,NA,"velox","AMNH"
"135","AMNH116536",NA,NA,"laredoensis","AMNH"
"136","AMNH165989",NA,NA,"exsanguis","AMNH"
"137","AMNHR131446",NA,NA,"sonorae","AMNH"
"138","ANMO4643",NA,NA,"tesselatus","ANMO_2021"
"139","ANMO4906",NA,NA,"gularis","ANMO_2021"
"140","ANMO4923",NA,NA,"arizonae","ANMO_2021"
"141","ANMO4936",NA,NA,"marmoratus","ANMO_2021"
"142","ANMO4937",NA,NA,"marmoratus","ANMO_2021"
"143","ANMO4943",NA,106,"marmoratus","ANMO_2021"
"144","ANMO4944",NA,49,"marmoratus","ANMO_2021"
"145","ANMO4945",NA,NA,"marmoratus","ANMO_2021"
"146","ANMO4948",NA,228,"arizonae","ANMO_2021"
"147","AMNO4920",NA,NA,"arizonae","ANMO1"
"148","AMNO4921",NA,NA,"arizonae","ANMO1"
"149","AMNO4922",NA,NA,"arizonae","ANMO1"
"150","AMNO4925",NA,NA,"marmoratus","ANMO1"
"151","AMNO4926",NA,NA,"marmoratus","ANMO1"
"152","AMNO4927",NA,NA,"marmoratus","ANMO1"
"153","AMNO4938",NA,NA,"marmoratus","ANMO1"
"154","AMNO4939",NA,NA,"marmoratus","ANMO1"
"155","AMNO4940",NA,NA,"marmoratus","ANMO1"
"156","AMNO4942",NA,NA,"marmoratus","ANMO1"
"157","ANMO1011",NA,NA,"deppii","ANMO2"
"158","ANMO2203",NA,NA,"deppii","ANMO2"
"159","ANMO2490",NA,104.19,"deppii","ANMO2"
"160","ANMO2502",NA,99.2,"deppii","ANMO2"
"161","ANMO2509",NA,99.8,"deppii","ANMO2"
"162","ANMO2510",NA,99.9,"deppii","ANMO2"
"163","ANMO2547",NA,108.1,"deppii","ANMO2"
"164","ANMO2574",NA,99.11,"deppii","ANMO2"
"165","ANMO2580",NA,104.6,"deppii","ANMO2"
"166","ANMO2599",NA,105.4,"deppii","ANMO2"
"167","ANMO2601",NA,105.5,"deppii","ANMO2"
"168","ANMO2808",NA,105.18,"deppii","ANMO2"
"169","ANMO2814",NA,47.5,"deppii","ANMO2"
"170","ANMO2823",NA,NA,"deppii","ANMO2"
"171","ANMO2857",NA,NA,"deppii","ANMO2"
"172","ANMO2904",NA,419,"deppii","ANMO2"
"173","ANMO2967",NA,NA,"deppii","ANMO2"
"174","ANMO3138",NA,98.14,"deppii","ANMO2"
"175","ANMO3149",NA,NA,"deppii","ANMO2"
"176","ANMO3353",NA,NA,"deppii","ANMO2"
"177","ANMO3457",NA,96.8,"deppii","ANMO2"
"178","ANMO3461",NA,NA,"guttatus","ANMO2"
"179","ANMO721",NA,35.9,"deppii","ANMO2"
"180","ANMO870",NA,174,"deppii","ANMO2"
"181","ANMO878",NA,NA,"deppii","ANMO2"
"182","ANMO886",NA,NA,"guttatus","ANMO2"
"183","ANMO887",NA,130,"guttatus","ANMO2"
"184","ANMO896",NA,NA,"guttatus","ANMO2"
"185","ANMO922",NA,59.5,"deppii","ANMO2"
"186","ANMO929",NA,NA,"deppii","ANMO2"
"187","ANMO934",NA,NA,"deppii","ANMO2"
"188","ANMO952",NA,320,"guttatus","ANMO2"
"189","EPR1221",NA,NA,"deppii","ANMO2"
"190","EPR1222",NA,130,"guttatus","ANMO2"
"191","EPR1356",NA,95.7,"deppii","ANMO2"
"192","IDF166",NA,NA,"deppii","ANMO2"
"193","IDF172",NA,84.9,"guttatus","ANMO2"
"194","IDF194",NA,NA,"guttatus","ANMO2"
"195","IDF199",NA,NA,"deppii","ANMO2"
"196","IDF58",NA,NA,"guttatus","ANMO2"
"197","JAC22134",NA,NA,"guttatus","ANMO2"
"198","JAC22198",NA,NA,"guttatus","ANMO2"
"199","LNG429",NA,NA,"deppii","ANMO2"
"200","MSM389",NA,NA,"deppii","ANMO2"
"201","MVZ204070",NA,NA,"deppii","ANMO2"
"202","UGOV1251",NA,NA,"guttatus","ANMO2"
"203","UGOV228",NA,NA,"guttatus","ANMO2"
"204","UGOV2668",NA,NA,"guttatus","ANMO2"
"205","UGOV845",NA,NA,"guttatus","ANMO2"
"206","UGOV967",NA,NA,"guttatus","ANMO2"
"207","UGOV968",NA,NA,"guttatus","ANMO2"
"208","UOGV1002",NA,NA,"deppii","ANMO2"
"209","UOGV1015",NA,700,"deppii","ANMO2"
"210","UOGV1019",NA,710,"deppii","ANMO2"
