"","Field Number","Species","Country","State","County","locality","latitude","longitude","GPS uncertainty","Date","sex","SVL (mm)","notes"
"1","RCT 901","Aspidoscelis tigris punctilineatus","USA","Arizona","Pima","vicinity of Ajo",32.3828,-112.78028,"3 m",2019-06-03,"Male",94,NA
"2","RCT 902","Aspidoscelis tigris punctilineatus","USA","Arizona","Pima","vicinity of Ajo",32.38388,-112.78144,"3 m",2019-06-03,"Male",94,NA
"3","RCT 903","Aspidoscelis tigris punctilineatus","USA","Arizona","Pima","Sabino Canyon",32.3101,-110.81131,"3 m",2019-06-03,"Male",86,NA
"4","RCT 904","Aspidoscelis sonorae","USA","Arizona","Pima","Sabino Canyon",32.30482,-110.81111,"3 m",2019-06-04,"Female",83,NA
"5","RCT 905","Aspidoscelis sonorae","USA","Arizona","Pima","Sabino Canyon",32.30851,-110.81078,"3 m",2019-06-04,"Female",72,NA
"6","RCT 906","Aspidoscelis sonorae","USA","Arizona","Pima","Sabino Canyon",32.30848,-110.81078,"4 m",2019-06-04,"Female",85,NA
"7","RCT 907","Aspidoscelis sonorae","USA","Arizona","Pima","Sabino Canyon",32.30795,-110.81055,"3 m",2019-06-04,"Female",82,NA
"8","RCT 908","Aspidoscelis sonorae","USA","Arizona","Pima","Sabino Canyon",32.30909,-110.81114,"3 m",2019-06-04,"Female",69,NA
"9","RCT 909","Aspidoscelis sonorae","USA","Arizona","Santa Cruz","Upper White Rock Campground",31.39362,-111.0094,"3 m",2019-06-05,"Female",92,NA
"10","RCT 910","Aspidoscelis sonorae","USA","Arizona","Santa Cruz","Upper White Rock Campground",31.39525,-111.0905,"3 m",2019-06-05,"Female",75,NA
"11","RCT 911","Aspidoscelis sonorae","USA","Arizona","Santa Cruz","Upper White Rock Campground",31.39537,-111.0952,"3 m",2019-06-05,"Female",NA,NA
"12","RCT 912","Aspidoscelis sonorae","USA","Arizona","Santa Cruz","Upper White Rock Campground",31.39585,-111.09052,"3 m",2019-06-05,"Female",NA,NA
"13","RCT 913","Aspidoscelis sonorae","USA","Arizona","Santa Cruz","Upper White Rock Campground",31.39543,-111.09053,"3 m",2019-06-05,"Female",NA,NA
"14","RCT 914","Aspidoscelis sonorae","USA","Arizona","Santa Cruz","Peña Blanca Lake",31.40037,-111.08885,"4 m",2019-06-05,"Female",NA,NA
"15","RCT 915","Aspidoscelis sonorae","USA","Arizona","Santa Cruz","Peña Blanca Lake",31.40047,-111.08857,"4 m",2019-06-05,"Female",NA,NA
"16","RCT 916","Aspidoscelis sonorae","USA","Arizona","Santa Cruz","Peña Blanca Lake",31.40033,-111.0901,"4 m",2019-06-05,"Female",NA,NA
"17","RCT 917","Aspidoscelis sp","USA","Arizona","Santa Cruz","Peña Blanca Lake",31.40033,-111.0901,NA,2019-06-05,NA,NA,"tail only"
"18","RCT 918","Aspidoscelis uniparens","USA","Arizona","Cochise","Near Portal, Chiricahua Mountains",31.92972,-109.13041,NA,2019-06-06,"Female",NA,NA
"19","RCT 919","Aspidoscelis uniparens","USA","Arizona","Cochise","Near Portal, Chiricahua Mountains",31.92972,-109.13041,NA,2019-06-06,"Female",NA,NA
"20","RCT 920","Aspidoscelis uniparens","USA","Arizona","Cochise","Near Portal, Chiricahua Mountains",31.93056,-109.13015,"3 m",2019-06-06,"Female",NA,NA
"21","RCT 921","Aspidoscelis uniparens","USA","Arizona","Cochise","Near Portal, Chiricahua Mountains",31.93023,109.13021,"3 m",2019-06-06,"Female",NA,NA
"22","RCT 922","Aspidoscelis exsanguis","USA","Arizona","Cochise","Cave Creek Canyon, Chiricahua Mountains",31.88987,-109.16909,"3 m",2019-06-06,"Female",NA,NA
"23","RCT 923","Aspidoscelis uniparens","USA","Arizona","Cochise","Cave Creek Canyon, Chiricahua Mountains",31.88909,-109.17032,"3 m",2019-06-06,"Female",NA,NA
"24","RCT 924","Aspidoscelis sonorae","USA","Arizona","Cochise","Cave Creek Canyon, Chiricahua Mountains",31.88408,-109.178,"3 m",2019-06-06,"Female",NA,NA
"25","RCT 925","Aspidoscelis marmoratus","USA","New Mexico","Sierra","Between Engle and Jornada",33.11802,-107.03244,NA,2019-06-08,"Female",NA,NA
"26","RCT 926","Aspidoscelis marmoratus","USA","New Mexico","Sierra","Between Engle and Jornada",33.11848,-107.033,NA,2019-06-08,"Male",NA,NA
"27","RCT 927","Aspidoscelis marmoratus","USA","New Mexico","Sierra","Between Engle and Jornada",33.12029,-107.03346,NA,2019-06-08,"Female",NA,NA
"28","RCT 928","Aspidoscelis tesselatus","USA","New Mexico","Sierra","Between Engle and Jornada",33.12078,-107.03346,NA,2019-06-08,"Female",NA,NA
"29","RCT 929","Aspidoscelis tesselatus","USA","New Mexico","Sierra","Between Engle and Jornada",33.1184,-107.03386,NA,2019-06-08,"Female",NA,NA
"30","RCT 930","Aspidoscelis tesselatus","USA","New Mexico","Sierra","Between Engle and Jornada",33.11945,-107.03383,NA,2019-06-08,"Female",NA,NA
"31","RCT 931","Aspidoscelis inornatus","USA","New Mexico","Sierra","Between Engle and Jornada",33.11934,-107.03375,NA,2019-06-08,"Female",NA,NA
