"","Field Number","Species","Country","State","Locality","Latitude","Longitude"
"1","TWR 1212","Aspidoscelis opatae","Mexico","Sonora","along Rio Bavispe, E of jct to Villa Hidalgo and Huasabas",29.92367,109.2903
"2","TWR 1213","Aspidoscelis opatae","Mexico","Sonora","along Rio Bavispe, E of jct to Villa Hidalgo and Huasabas",29.92367,109.2903
"3","TWR 1214","Aspidoscelis opatae","Mexico","Sonora","along Rio Bavispe, E of jct to Villa Hidalgo and Huasabas",29.92367,109.2903
"4","TWR 1215","Aspidoscelis opatae","Mexico","Sonora","along Rio Bavispe, E of jct to Villa Hidalgo and Huasabas",29.92367,109.2903
"5","TWR 1216","Aspidoscelis opatae","Mexico","Sonora","along Rio Bavispe, E of jct to Villa Hidalgo and Huasabas",29.92367,109.2903
"6","TWR 1218","Aspidoscelis opatae","Mexico","Sonora","along Rio Bavispe, E of jct to Villa Hidalgo and Huasabas",29.92367,109.2903
"7","TWR 1219","Aspidoscelis opatae","Mexico","Sonora","along Rio Bavispe, E of jct to Villa Hidalgo and Huasabas",29.92367,109.2903
"8","TWR 1220","Aspidoscelis opatae","Mexico","Sonora","along Rio Bavispe, E of jct to Villa Hidalgo and Huasabas",29.92367,109.2903
"9","TWR 1234","Aspidoscelis opatae","Mexico","Sonora","along Rio Bavispe, E of jct to Villa Hidalgo and Huasabas",29.92367,109.2903
"10","TWR 1235","Aspidoscelis opatae","Mexico","Sonora","29 km N of jct to Villa Hidalgo and Huasabas, along road to Villa Hidalgo, just south of town",30.14917,109.3197
"11","TWR 1236","Aspidoscelis opatae","Mexico","Sonora","29 km N of jct to Villa Hidalgo and Huasabas, along road to Villa Hidalgo, just south of town",30.14917,109.3197
"12","TWR 1262","Aspidoscelis sp P","Mexico","Sonora","11 km N of Huachinera, along Rio Bavispe",30.28333,108.9345
"13","TWR 1263","Aspidoscelis sp P","Mexico","Sonora","11 km N of Huachinera, along Rio Bavispe",30.28333,108.9345
"14","TWR 1264","Aspidoscelis sp P","Mexico","Sonora","11 km N of Huachinera, along Rio Bavispe",30.28333,108.9345
"15","TWR 1265","Aspidoscelis sp P","Mexico","Sonora","11 km N of Huachinera, along Rio Bavispe",30.28333,108.9345
"16","TWR 1266","Aspidoscelis sp P","Mexico","Sonora","11 km N of Huachinera, along Rio Bavispe",30.28333,108.9345
"17","TWR 1285","Aspidoscelis sp P","Mexico","Sonora","just N of Bavispe, near Rio Bavispe",30.48517,108.9567
"18","TWR 1286","Aspidoscelis sp P","Mexico","Sonora","just N of Bavispe, near Rio Bavispe",30.48517,108.9567
