"","BKS #","DATE","COL","SPECIES","LOCALITY"
"1",1168,"36659","BKS","C. arizonae","AZ: Cochise Co., Blue Sky Rd, N of SR 186, SE Willcox"
"2",1169,"36659","BKS","G. wislizenii","AZ: Cochise Co., Blue Sky Rd, N of SR 186, SE Willcox"
"3",1170,"36659","BKS","G. wislizenii","AZ: Cochise Co., Blue Sky Rd, N of SR 186, SE Willcox"
"4",1171,"36659","BKS","P. cornutum","AZ: Cochise Co., Blue Sky Rd, N of SR 186, SE Willcox"
"5",1172,"36690","BKS","C. arizonae","AZ: Cochise Co., Twin Lakes"
"6",1173,"36690","BKS","C. arizonae","AZ: Cochise Co., Twin Lakes"
"7",1174,"36690","BKS","C. arizonae","AZ: Cochise Co., Ex. 336, immediately N of I-10"
"8",1175,"36690","BKS","C. uniparens","AZ: Cochise Co., SR 186 at Fort Bowie Rd."
"9",1176,"36691","BKS","C. arizonae","AZ: Cochise Co., SR 186, 3.8 mi SE Willcox"
"10",1177,"36691","BKS","C. uniparens","AZ: Cochise Co., Moser Rd at Kan. Sett. Rd."
"11",1178,"36696","BKS","C. uniparens","AZ: Cochise Co., San Pedro River at Charleston"
"12",1179,"36696","BKS","C. uniparens","AZ: Cochise Co., San Pedro River at Fairbank"
"13",1180,"1-2 JUL 00","BKS","B. microscaphus","AZ: Yavapai Co., Sundog Ranch Rd along Granite Creek, N Prescott"
"14",1181,"1-2 JUL 00","BKS","B. microscaphus","AZ: Yavapai Co., Sundog Ranch Rd along Granite Creek, N Prescott"
"15",1182,"1-2 JUL 00","BKS","B. microscaphus","AZ: Yavapai Co., Sundog Ranch Rd along Granite Creek, N Prescott"
"16",1183,"1-2 JUL 00","BKS","B. microscaphus","AZ: Yavapai Co., Sundog Ranch Rd along Granite Creek, N Prescott"
"17",1184,"1-2 JUL 00","BKS","B. microscaphus","AZ: Yavapai Co., Sundog Ranch Rd along Granite Creek, N Prescott"
"18",1185,"1-2 JUL 00","BKS","B. microscaphus","AZ: Yavapai Co., Sundog Ranch Rd along Granite Creek, N Prescott"
"19",1186,"1-2 JUL 00","BKS","B. microscaphus","AZ: Yavapai Co., Sundog Ranch Rd along Granite Creek, N Prescott"
"20",1187,"1-2 JUL 00","BKS","B. microscaphus","AZ: Yavapai Co., Sundog Ranch Rd along Granite Creek, N Prescott"
"21",1188,"1-2 JUL 00","BKS","C. uniparens","AZ: Yavapai Co., Sundog Ranch Rd along Granite Creek, N Prescott"
"22",1189,"1-2 JUL 00","BKS","C. uniparens","AZ: Yavapai Co., Sundog Ranch Rd along Granite Creek, N Prescott"
"23",1190,"1-2 JUL 00","BKS","C. velox","AZ: Yavapai Co., Sundog Ranch Rd along Granite Creek, N Prescott"
"24",1191,"36709","BKS","C. velox","AZ: Yavapai Co., Sundog Ranch Rd along Granite Creek, N Prescott"
"25",1192,"36707","PSH","Hybrid? (C. spp)","AZ: Cochise Co., Railroad Rd, 3 mi W Willcox [poss. C. arizonae X C. uniparens]"
"26",1193,"36707","PSH","Hybrid? (C. spp)","AZ: Cochise Co., Kansas Sett. Rd, 10 mi so SR 186? [poss. C. arizonae X C. uniparens]"
"27",1194,"36707","PSH","Hybrid? (C. spp)","AZ: Cochise Co., Kansas Sett. Rd, 10 mi so SR 186? [poss. C. arizonae X C. uniparens]"
"28",1195,"36716","MAF","S. obesus","AZ: Maricopa Co., A mtn, Tempe Campus"
"29",1196,"36725","BKS","C. arizonae","AZ: Cochise Co., Twin Lakes, 2 mi SW Willcox"
"30",1197,"36725","BKS","C. arizonae","AZ: Cochise Co., Twin Lakes, 2 mi SW Willcox"
"31",1198,"36725","BKS","C. arizonae","AZ: Cochise Co., Twin Lakes, 2 mi SW Willcox"
"32",1199,"36725","BKS","C. arizonae","AZ: Cochise Co., Twin Lakes, 2 mi SW Willcox"
"33",1200,"36724","BKS","C. arizonae","AZ: Graham Co., Ft. Grant Rd, 23 mi N Willcox"
"34",1201,"36724","BKS","C. arizonae","AZ: Graham Co., Ft. Grant Rd, 23 mi N Willcox"
"35",1202,"36724","BKS","C. arizonae","AZ: Graham Co., Ft. Grant Rd, 23 mi N Willcox"
"36",1203,"36725","BKS","C. uniparens","AZ: Graham Co., Ash Cr. Rd, 1.2 mi W intersection with Ft. Gr. Rd"
"37",1204,"36725","BKS","C. uniparens","AZ: Graham Co., Ash Cr. Rd, 1.2 mi W intersection with Ft. Gr. Rd"
"38",1205,"36725","BKS","C. uniparens","AZ: Graham Co., Ash Cr. Rd, 1.2 mi W intersection with Ft. Gr. Rd"
"39",1206,"36725","BKS","C. uniparens","AZ: Graham Co., Ash Cr. Rd, 1.2 mi W intersection with Ft. Gr. Rd"
"40",1207,"36725","BKS","C. uniparens","AZ: Graham Co., Ash Cr. Rd, 1.2 mi W intersection with Ft. Gr. Rd"
"41",1208,"36725","BKS","C. uniparens","AZ: Cochise Co., Willcox (Days Inn, ex. 340)"
"42",1209,"36726","BKS","C. uniparens","AZ: Cochise Co., SR 191 at Cochise"
"43",1210,"36726","BKS","C. uniparens","AZ: Cochise Co., SR 191 at Apache Gen. Station"
"44",1211,"36773","MAF","B. woodhousii","NM: Dona Ana Co., Engle Rd, Las Cruces"
"45",1212,"36778","BKS","S. obesus","AZ: Maricopa Co., So Mtns"
"46",1213,"36778","BKS","S. obesus","AZ: Maricopa Co., So Mtns"
"47",1214,"36778","BKS","S. obesus","AZ: Maricopa Co., So Mtns"
"48",1215,"36778","BKS","S. obesus","AZ: Maricopa Co., So Mtns"
"49",1216,"36778","BKS","S. obesus","AZ: Maricopa Co., So Mtns"
"50",1217,"36778","BKS","S. obesus","AZ: Maricopa Co., So Mtns"
"51",1218,"36778","BKS","S. obesus","AZ: Maricopa Co., So Mtns"
"52",1219,"44986","CLeary","B. americanus","OK: Cleveland Co., Slaughterhouse Rd at Cleveland and Pottawatome Co. line"
"53",1220,"44986","CLeary","B. americanus","OK: Cleveland Co., Slaughterhouse Rd at Cleveland and Pottawatome Co. line"
"54",1221,"44986","CLeary","B. americanus","OK: Cleveland Co., Slaughterhouse Rd at Cleveland and Pottawatome Co. line"
"55",1222,"37432","BKS","C. arizonae","AZ: Cochise Co., Twin Lakes (610547, 3566454)"
"56",1223,"37432","BKS","Hybrid? (C. sp)","AZ: Cochise Co., Moser Rd (617596, 3557791)[poss. C. arizonae X C. uniparens]"
"57",1224,"37432","BKS","Hybrid? (C. sp)","AZ: Cochise Co., Moser Rd (617596, 3557791)[poss. C. arizonae X C. uniparens]"
"58",1225,"37432","BKS","C. uniparens","AZ: Cochise Co., Moser Rd (617596, 3557791)[poss. C. arizonae X C. uniparens]"
"59",1226,"37433","BKS","C. uniparens","AZ: Cochise Co., SR 191 at Kan. Sett. Rd (615461, 3530349)"
"60",1227,"37433","BKS","C. uniparens","AZ: Cochise Co., SR 191 at Kan. Sett. Rd (615461, 3530349)"
"61",1228,"37434","BKS","C. arizonae","AZ: Cochise Co., 0.5 mi N ex 340 of I-10, N of Stout’s (609115, 3572144)"
"62",1229,"37434","BKS","C. arizonae","AZ: Cochise Co., 0.5 mi N ex 340 of I-10, N of Stout’s (609115, 3572144)"
"63",1230,"37434","BKS","C. uniparens","AZ: Cochise Co., 0.5 mi N ex 340 of I-10, N of Stout’s (609115, 3572144)"
"64",1231,"37499","BKS","C. uniparens","NM: Hidalgo Co., SR 70 about 15 mi NW Lordsberg (698159, 3600437)"
"65",1232,"37499","BKS","C. uniparens","NM: Hidalgo Co., SR 70 about 15 mi NW Lordsberg (698159, 3600437)"
"66",1233,"37500","BKS","C. uniparens","AZ: Graham Co., Ft. Grant Rd, 2 mi S Bonita (596431, 3600142)"
"67",1234,"37750","BKS","C. uniparens","NM: Hidalgo Co., SR 338, 6 mi S I-10 (700049, 3563093)"
"68",1235,"37750","BKS","C. uniparens","NM: Hidalgo Co., SR 338, 3 mi S I-10 (700035, 3567138)"
"69",1236,"37751","BKS","C. uniparens","NM: Hidalgo Co., SR 80, S SR 9 (685820, 3532299)"
"70",1237,"37751","BKS","C. uniparens","AZ: Cochise Co., SR 191, S McNeil (630466, 3483931)"
"71",1238,"37751","BKS","C. uniparens","AZ: Cochise Co., SR 80 at Rucker Cyn Rd (667105, 3496668)"
"72",1239,"37751","BKS","C. uniparens","AZ: Cochise Co., SR 80 at Price Cyn Rd (671199, 3500960)"
"73",1240,"37751","BKS","C. uniparens","AZ: Cochise Co., SR 80 at Price Cyn Rd (671199, 3500960)"
"74",1241,"37752","BKS","hybrid? (C. sp)","AZ: Cochise Co., Airport NW of Willcox (604809, 3567878) [poss. C. arizonae X C. uniparens]"
"75",1242,"37752","BKS","C. uniparens","AZ: Cochise Co., Airport NW of Willcox (604809, 3567878) [poss. C. arizonae X C. uniparens]"
"76",1243,"37752","BKS","C. uniparens","AZ: Cochise Co., Ex. 340, I-10, 0.5 mi N Stout’s (609115, 3571316)"
"77",1244,"37752","BKS","C. uniparens","AZ: Cochise Co., Ex. 340, I-10, 0.5 mi N Stout’s (609115, 3571316)"
"78",1245,"37752","BKS","C. uniparens","AZ: Cochise Co., Moser Rd (617596, 3557791)"
"79",1246,"37752","BKS","hybrid? (C. sp)","AZ: Cochise Co., Moser Rd (617596, 3557791)[poss. C. arizonae X C. uniparens]"
"80",1247,"37752","BKS","C. uniparens","AZ: Cochise Co., Moser Rd (617596, 3557791)[poss. C. arizonae X C. uniparens]"
"81",1248,"37765","BKS","C. arizonae","AZ: Cochise Co., Twin Windmills, S ex. 336 on I-10 (606032, 3564493)"
"82",1249,"37751","BKS","T. nigriceps","AZ: Cochise Co., N ex. 336 on I-10"
"83",1250,"37765","BKS","hybrid? (C. sp)","AZ: Cochise Co., Moser Rd (617596, 3557791)[poss. C. arizonae X C. uniparens]"
"84",1251,"37765","BKS","C. arizonae","AZ: Cochise Co., Moser Rd (617596, 3557791)"
