"","COLECTION NUMBER","CLASS","FAMILY","GENUS","SPECIES","SUSPECIES","IDENTIFIER","IDENTIF. YEAR","COUNTRY","STATE","MUNICIPALITY","LOCALITY","LATITUDE (DEGREES)","LATITUDE (MINUTES)","LATITUDE (SECONDS)","LONGITUDE (DEGREES)","LONGITUD (MINUTES)","LONGITUD (SECONDS)","COLLECTOR","COLLECTOR ACRONYM","COLLECTOR NUMBER","COLLECTION TIME","COLLECTION DAY","COLLECTION MONTH","COLLECTION YEAR","SEX","AGE","VEGETATION","COLLECTION SITE","ALTITUDE","ADITIONAL INFORMATION","SAMPLE PREPARAYION","TISSUE","LATITUDE","LONGITUDE"
"1",NA,"Sauropsida","Teiidae","Aspidoscelis","angusticeps","angusticeps","Norma L. Manríquez Morán",2012,"México","Campeche","Escárcega","Haro","18","31","35.5",90,47,"23.5","Norma L. Manríquez Morán","NLMM","460","0.40972222222222227",24,"July",2012,"Female","Adult","Rainforest/crop","Ground",72,NA,"70% Ethanol","YES",18.5265277777778,-90.7898611111111
"2",NA,"Sauropsida","Teiidae","Aspidoscelis","angusticeps","angusticeps","Norma L. Manríquez Morán",2012,"México","Campeche","Escárcega","División del Norte","18","31","40.6",90,45,"34.5","Norma L. Manríquez Morán","NLMM","471","0.51458333333333328",25,"July",2012,"Female","Adult","Rainforest","Ground",103,NA,"70% Ethanol","YES",18.5279444444444,-90.7595833333333
"3",NA,"Sauropsida","Teiidae","Aspidoscelis","angusticeps","angusticeps","Norma L. Manríquez Morán",2012,"México","Campeche","Escárcega","División del Norte","18","31","42.2",90,45,"33.1","Norma L. Manríquez Morán","NLMM","472","0.51458333333333328",25,"July",2012,"Male","Adult","Rainforest","Ground",101,NA,"70% Ethanol","YES",18.5283888888889,-90.7591944444444
"4",NA,"Sauropsida","Teiidae","Aspidoscelis","angusticeps","angusticeps","Norma L. Manríquez Morán",2012,"México","Campeche","Escárcega","División del Norte","18","31","41.7",90,45,"36","Norma L. Manríquez Morán","NLMM","469","0.38680555555555557",26,"July",2012,"Male","Adult","Rainforest","Ground",101,NA,"70% Ethanol","YES",18.52825,-90.76
"5",NA,"Sauropsida","Teiidae","Aspidoscelis","angusticeps","angusticeps","Norma L. Manríquez Morán",2012,"México","Campeche","Escárcega","División del Norte","18","31","11.6",90,45,"45.8","Norma L. Manríquez Morán","NLMM","473","0.61249999999999993",26,"July",2012,"Male","Adult","Rainforest","Ground",107,NA,"70% Ethanol","YES",18.5198888888889,-90.7627222222222
"6",NA,"Sauropsida","Teiidae","Aspidoscelis","angusticeps","angusticeps","Norma L. Manríquez Morán",2012,"México","Campeche","Escárcega","Rancho Casados","18","36","1.1000000000000001",90,42,"6.1","Norma L. Manríquez Morán","NLMM","480","0.48194444444444445",27,"July",2012,NA,"Young","Rainforest","Ground",93,NA,"70% Ethanol","YES",18.6003055555556,-90.7016944444444
"7",NA,"Sauropsida","Teiidae","Aspidoscelis","angusticeps",NA,"Anahí Esquivel Ramírez",2011,"México","Campeche","Calakmul","Constitución","18","37","28",90,7,"50","Anahi Esquivel Ramírez","AER","12","0.40763888888888888",28,"May",2011,NA,NA,"Rainforest (modified)",NA,92,NA,"70% Ethanol","YES",18.6244444444444,-90.1305555555555
"8",NA,"Sauropsida","Teiidae","Aspidoscelis","angusticeps",NA,"Anahí Esquivel Ramírez",2011,"México","Campeche","Calakmul","Constitución","18","37","28",90,7,"50","Anahi Esquivel Ramírez","AER","20","0.5541666666666667",30,"May",2011,NA,NA,"Rainforest (modified)",NA,92,NA,"70% Ethanol","YES",18.6244444444444,-90.1305555555555
"9",NA,"Sauropsida","Teiidae","Aspidoscelis","angusticeps",NA,"Anahí Esquivel Ramírez",2011,"México","Campeche","Calakmul","Constitución","18","37","28",90,7,"50","Anahi Esquivel Ramírez","AER","22","0.44930555555555557",1,"June",2011,NA,NA,"Rainforest (modified)",NA,92,NA,"70% Ethanol","YES",18.6244444444444,-90.1305555555555
"10",NA,"Sauropsida","Teiidae","Aspidoscelis","angusticeps",NA,"Anahí Esquivel Ramírez",2011,"México","Campeche","Calakmul","Xpujil","18","30","31.9",89,23,"53.4","Anahi Esquivel Ramírez","AER","40","0.59027777777777779",3,"September",2011,NA,NA,"Rainforest (modified)",NA,269,NA,"70% Ethanol","YES",18.5088611111111,-89.3981666666667
