"","REQUEST","USE_LICENSE_URL","GUID","SCIENTIFIC_NAME","CITATIONS","IDENTIFIED_BY","FAMILY","OTHERCATALOGNUMBERS","COLLECTORS","SPECIMEN_EVENT_REMARK","COORDINATEUNCERTAINTYINMETERS","COUNTRY","STATE_PROV","COUNTY","HABITAT","SPEC_LOCALITY","VERBATIM_LOCALITY","VERBATIM_DATE","BEGAN_DATE","ENDED_DATE","PARTS","DEC_LAT","DEC_LONG","SEX","COLORS","VERBATIM_COLLECTOR","REMARK","LOCALITY_REMARKS","COLL_EVENT_REMARKS","ELEV_IN_M"
"1","x","http://creativecommons.org/licenses/by/3.0/","UTEP:Herp:21270","Aspidoscelis exsanguis",NA,"Carl S. Lieb","Teiidae","collector number=CSL 9663; secondary identifier=XHP.2015.1.71","Carl S. Lieb",NA,NA,"United States","New Mexico","Grant County","well above streambed on disturbed, sandy bank","United States Highway 80, at Little Dry Creek","USHwy 80 at Little Dry Creek (T13, R19W, W Sec.8) [GPS: 33 deg 11.302'N, 108 deg 49.292'W, elev. 5075 ft, acc. = 11ft(3.4m)]","42144",2015-05-20,2015-05-20,"whole organism (formalin-fixed, 70% ethanol); heart, liver (frozen); muscle (frozen)",33.1883833333,-108.8215333333,NA,NA,NA,NA,"Standard UTM coordinates from GPS data conversion are: Zone 12, 703089.5 E, 3674285.5 N",NA,"1546.86-1546.86"
"2",NA,"http://creativecommons.org/licenses/by/3.0/","UTEP:Herp:18535","Aspidoscelis exsanguis",NA,"Dominic I. Lannutti","Teiidae","collector number=DIL 422; secondary identifier=XHP.2000.6.20","Dominic I. Lannutti, unknown","mountains/drainage: Jarilla Mts, named place: Orogrande, extent: 1400m, georeferencing remarks: Moved 2.5mi N of Orogrande.ppl GNIS.",3908.334,"United States","New Mexico","Otero County",NA,"ca. 2.5 miles N (by road) of Orogrande","USA, New Mexico, Otero County, Ca. 2.5 Rd Mi. N Orogrande","0000/00/00",NA,2011-01-13,"whole organism (formalin-fixed, 70% ethanol); muscle (frozen); tail tip (frozen); liver (frozen)",32.407269,-106.084322,NA,NA,"and others",NA,NA,"found at 0900 hrs",NA
"3","x","http://creativecommons.org/licenses/by/3.0/","UTEP:Herp:10619","Aspidoscelis exsanguis",NA,"Carl S. Lieb","Teiidae","collector number=CSL 7198; secondary identifier=XHP.1985.6.17","Carl S. Lieb, unknown","mountains/drainage: Alamo Hueco Mts, named place: Alamo Hueco Mts/U-Bar Cave, extent: 0.5km, georeferencing remarks: georef at cave entrance; extent reflects likely collection radius from this entrance",531,"United States","New Mexico","Hidalgo County",NA,"ca. 18 kilometers NNE (by air) of Antelope Wells, vicinity of U-Bar Cave","USA, New Mexico, Hidalgo County, Ca. 18 Km (Air) Nne Antelope Wells, Vic. U-Bar Cave (T32S, R16W, Se 1/4 Sec.35) 4800-5000 Ft","31241",NA,1985-07-13,"whole organism (formalin-fixed, 70% ethanol); kidney (frozen); heart, liver, muscle (frozen)",31.47438,-108.43309,NA,NA,"and others",NA,"T32S, R16W, Se 1/4 Sec.35",NA,"1463.04-1524"
"4",NA,"http://creativecommons.org/licenses/by/3.0/","UTEP:Herp:21271","Aspidoscelis exsanguis",NA,"Carl S. Lieb","Teiidae","collector number=CSL 9665; secondary identifier=XHP.2015.1.72","Carl S. Lieb",NA,NA,"United States","New Mexico","Grant County",NA,"United States Highway 80, at Little Dry Creek","USHwy 80 at Little Dry Creek (T13, R19W, W Sec.8) [GPS: 33 deg 11.381'N, 108 deg 49.293'W, elev. 5110 ft, acc. = 11ft(3.4m)]","42144",2015-05-20,2015-05-20,"heart, liver, muscle (frozen); whole organism (formalin-fixed, 70% ethanol)",33.1896833333,-108.8210333333,NA,NA,NA,NA,"Standard UTM coordinates from GPS data conversion are: Zone 12, 703084.9 E, 3674429.6 N",NA,"1557.528-1557.528"
"5",NA,"http://creativecommons.org/licenses/by/3.0/","UTEP:Herp:20761","Aspidoscelis exsanguis",NA,"Carl S. Lieb","Teiidae","collector number=CSL 9499; secondary identifier=XHP.2013.1.79","Carl S. Lieb","named place: Hwy 54/jct Hwy 10 Business/Van Horn, georeferencing remarks: GPS measurement accuracy = 12 ft",6.0941712,"United States","Texas","Culberson County",NA,"along State Highway 54, 13.7 miles N of (by road) junction with Interstate Highway 10 Business (Broadway Street) in Van Horn","USA, Texas, Culberson County, Along Sthwy 54, 13.7 Rd Mi. N Jct With Ihwy 10 Business (Broadway Street) In Van Horn [Gps: 31 Deg 12.852'N, 104 Deg 51.076'W, Elev. 4261 Ft, Acc. = 12 Ft]","41497",NA,2013-08-11,"whole organism (formalin-fixed, 70% ethanol); blood (95% ethanol); heart, liver, muscle (frozen)",31.2142,-104.85127,NA,NA,NA,NA,NA,NA,"1298.7528-1298.7528"
"6",NA,"http://creativecommons.org/licenses/by/3.0/","UTEP:Herp:19190","Aspidoscelis exsanguis",NA,"Carl S. Lieb","Teiidae","preparator number=CSL 8870; secondary identifier=XHP.2005.2.53","Carl S. Lieb, Jennifer D. Jurado","mountains/drainage: Davis Mts, named place: Madera Canyon Picnic Area/Hwy 118, georeferencing remarks: GPS measurement accuracy = 18 ft",7.9284576,"United States","Texas","Jeff Davis County",NA,"Lawrence E Woods (""Madera Canyon"") picnic area, off State Highway 118","USA, Texas, Jeff Davis County, Lawrence E Woods (""Madera Canyon"") Picnic Area Off Sthy 118 (Gps: 30 Deg 42.359'N, 104 Deg 06.353'W, Elev. 5854 Ft, Acc = 18Ft)","38556",NA,2005-07-23,"heart, liver, muscle (frozen); whole organism (formalin-fixed, 70% ethanol)",30.70598,-104.10588,NA,NA,NA,NA,NA,NA,"1784.2992-1784.2992"
"7","x","http://creativecommons.org/licenses/by/3.0/","UTEP:Herp:20320","Aspidoscelis exsanguis",NA,"Jerry D. Johnson","Teiidae","preparator number=JDJ 2341; secondary identifier=XHP.2011.5.1; trap number=0-3","Ross Couvillon","mountains/drainage: Indio Mts, named place: IMRS/Oak Arroyo, georeferencing remarks: GPS measurement accuracy not recorded, so an estimate of 10 m was used for error calculation, locality remarks: ""Oak Arroyo' is an informal place name used internally by IMRS",10.407,"United States","Texas","Hudspeth County",NA,"Indio Mountains Research Station, Oak Arroyo, Pitfall Trap 0-3","USA, Texas, Hudspeth, Indio Mountains Research Station, Oak Arroyo, Pitfall Trap 0-3 [Gps: 30 Deg 47'10.25""N, 104 Deg 58'50.47""W, Elev. 1327 M]","40683",NA,2011-05-20,"heart, liver; whole organism (formalin-fixed, 70% ethanol)",30.78618,-104.98069,NA,NA,NA,NA,NA,NA,"1327-1327"
"8","x","http://creativecommons.org/licenses/by/3.0/","UTEP:Herp:21547","Aspidoscelis exsanguis",NA,"Carl S. Lieb","Teiidae","collector number=CSL 9788; preparator number=CSL 9788; secondary identifier=XHP.2016.3.82","Carl S. Lieb","Former verification status: verified by curator.",8.517,"United States","Texas","Hudspeth County",NA,"Interstate Highway 10, 0.8 road miles W junction with Laska Road, behind picnic area on south side","Quitman Mts, behind picnic area on south side of Ihwy 10, 0.8 rd mi. W jct with Laska Road [GPS 31 deg 12.759'N, 105 deg 29.578'W, elev. 4640 ft, acc. = 10ft(3.0m)]","42524",2016-06-03,2016-06-03,"whole organism (formalin-fixed, 70% ethanol); tissue (95% ethanol)",31.21265,-105.49297,NA,NA,NA,NA,"Quitman Mountains, Standard UTM coordinates from GPS data conversion are: Zone 13, 453042.9 E, 3453274.0 N",NA,"1414.272-1414.272"
"9","x","http://creativecommons.org/licenses/by/3.0/","UTEP:Herp:19189","Aspidoscelis exsanguis",NA,"Carl S. Lieb","Teiidae","preparator number=CSL 8869; secondary identifier=XHP.2005.2.52","Carl S. Lieb, Jennifer D. Jurado","mountains/drainage: Davis Mts, named place: Madera Canyon Picnic Area/Hwy 118, georeferencing remarks: GPS measurement accuracy = 19 ft",8.2332576,"United States","Texas","Jeff Davis County",NA,"Lawrence E Woods (""Madera Canyon"") picnic area, off State Highway 118","USA, Texas, Jeff Davis County, Lawrence E Woods (""Madera Canyon"") Picnic Area Off Sthy 118 (Gps: 30 Deg 42.360'N, 104 Deg 06.346'W, Elev. 5864 Ft, Acc = 19 Ft)","38556",NA,2005-07-23,"heart, liver, muscle (frozen); whole organism (formalin-fixed, 70% ethanol)",30.706,-104.10577,NA,NA,NA,NA,NA,NA,"1787.3472-1787.3472"
"10",NA,"http://creativecommons.org/licenses/by/3.0/","UTEP:Herp:21084","Aspidoscelis exsanguis",NA,"Carl S. Lieb","Teiidae","collector number=CSL 9594; secondary identifier=XHP.2014.4.99","Carl S. Lieb","mountains/drainage: Hueco Mts, named place: Hueco Mts/Pow-wow Canyon/Hwy 62-180, georeferencing remarks: GPS measurement accuracy = 11 ft",5.7826656,"United States","Texas","El Paso County",NA,"Hueco Mountains, Pow-Wow Canyon, picnic area along United States Highway 62-180, 3.9 miles E of (by road) junction with Ranch to Market Road 2775, just W of Hudspeth County Line","USA, Texas, El Paso County, Hueco Mts, Pow-Wow Canyon, Picnic Area Along Ushy 62-180, 3.9 Rd Mi. E Jct With Rnrd 2775, Just West Of Hudspeth County Line [Gps: 31 Deg 49.770'N, 105 Deg 59.968'W, Elev. 4839 Ft, Acc. = 11Ft]","41849",NA,2014-07-29,"heart, liver, muscle (frozen); whole organism (formalin-fixed, 70% ethanol)",31.8295,-105.99947,NA,NA,NA,NA,NA,NA,"1474.9272-1474.9272"
